wavelength,amplitude
999.6,0.014
998.62,0.014
997.64,0.014
996.66,0.015
995.68,0.015
994.7,0.014
993.72,0.014
992.74,0.015
991.76,0.015
990.78,0.015
989.8,0.015
988.82,0.015
987.84,0.015
986.86,0.015
985.88,0.015
984.9,0.015
983.92,0.015
982.94,0.015
981.96,0.016
980.98,0.015
980.0,0.015
979.02,0.015
978.04,0.016
977.06,0.016
976.08,0.016
975.1,0.016
974.12,0.016
973.14,0.017
972.16,0.017
971.18,0.016
970.2,0.017
969.22,0.017
968.24,0.017
967.26,0.017
966.28,0.017
965.3,0.017
964.32,0.017
963.34,0.017
962.36,0.017
961.38,0.017
960.4,0.018
959.42,0.018
958.44,0.018
957.46,0.018
956.48,0.018
955.5,0.018
954.52,0.018
953.54,0.018
952.56,0.018
951.58,0.018
950.6,0.018
949.62,0.018
948.64,0.018
947.66,0.018
946.68,0.018
945.7,0.018
944.72,0.018
943.74,0.018
942.76,0.019
941.78,0.018
940.8,0.019
939.82,0.019
938.84,0.019
937.86,0.019
936.88,0.019
935.9,0.019
934.92,0.019
933.94,0.020
932.96,0.020
931.98,0.020
931.0,0.020
930.02,0.020
929.04,0.020
928.06,0.020
927.08,0.021
926.1,0.021
925.12,0.021
924.14,0.021
923.16,0.021
922.18,0.020
921.2,0.020
920.22,0.021
919.24,0.021
918.26,0.021
917.28,0.021
916.3,0.021
915.32,0.021
914.34,0.021
913.36,0.022
912.38,0.023
911.4,0.023
910.42,0.022
909.44,0.022
908.46,0.022
907.48,0.023
906.5,0.023
905.52,0.023
904.54,0.023
903.56,0.023
902.58,0.022
901.6,0.022
900.62,0.022
899.64,0.024
898.66,0.025
897.68,0.025
896.7,0.026
895.72,0.026
894.74,0.025
893.76,0.025
892.78,0.025
891.8,0.025
890.82,0.025
889.84,0.024
888.86,0.025
887.88,0.026
886.9,0.026
885.92,0.026
884.94,0.027
883.96,0.027
882.98,0.026
882.0,0.027
881.02,0.026
880.04,0.027
879.06,0.027
878.08,0.027
877.1,0.027
876.12,0.028
875.14,0.027
874.16,0.027
873.18,0.028
872.2,0.028
871.22,0.028
870.24,0.027
869.26,0.028
868.28,0.029
867.3,0.029
866.32,0.029
865.34,0.029
864.36,0.028
863.38,0.028
862.4,0.028
861.42,0.028
860.44,0.029
859.46,0.029
858.48,0.028
857.5,0.028
856.52,0.027
855.54,0.026
854.56,0.024
853.58,0.024
852.6,0.023
851.62,0.023
850.64,0.021
849.66,0.020
848.68,0.020
847.7,0.020
846.72,0.020
845.74,0.019
844.76,0.019
843.78,0.019
842.8,0.019
841.82,0.019
840.84,0.019
839.86,0.019
838.88,0.018
837.9,0.018
836.92,0.019
835.94,0.019
834.96,0.018
833.98,0.018
833.0,0.018
832.02,0.018
831.04,0.018
830.06,0.018
829.08,0.019
828.1,0.019
827.12,0.019
826.14,0.018
825.16,0.018
824.18,0.018
823.2,0.018
822.22,0.019
821.24,0.019
820.26,0.019
819.28,0.019
818.3,0.019
817.32,0.020
816.34,0.020
815.36,0.020
814.38,0.020
813.4,0.020
812.42,0.020
811.44,0.020
810.46,0.020
809.48,0.021
808.5,0.021
807.52,0.021
806.54,0.021
805.56,0.021
804.58,0.021
803.6,0.022
802.62,0.022
801.64,0.022
800.66,0.022
799.68,0.022
798.7,0.023
797.72,0.023
796.74,0.023
795.76,0.023
794.78,0.023
793.8,0.023
792.82,0.022
791.84,0.023
790.86,0.022
789.88,0.022
788.9,0.023
787.92,0.023
786.94,0.024
785.96,0.025
784.98,0.029
784.0,0.032
783.02,0.034
782.04,0.038
781.06,0.045
780.08,0.052
779.1,0.051
778.12,0.057
777.14,0.062
776.16,0.061
775.18,0.060
774.2,0.060
773.22,0.058
772.24,0.050
771.26,0.048
770.28,0.043
769.3,0.042
768.32,0.039
767.34,0.039
766.36,0.038
765.38,0.038
764.4,0.038
763.42,0.038
762.44,0.037
761.46,0.037
760.48,0.035
759.5,0.034
758.52,0.031
757.54,0.029
756.56,0.027
755.58,0.026
754.6,0.022
753.62,0.019
752.64,0.017
751.66,0.016
750.68,0.015
749.7,0.014
748.72,0.014
747.74,0.013
746.76,0.012
745.78,0.012
744.8,0.012
743.82,0.012
742.84,0.012
741.86,0.012
740.88,0.012
739.9,0.012
738.92,0.014
737.94,0.015
736.96,0.015
735.98,0.014
735.0,0.014
734.02,0.014
733.04,0.013
732.06,0.013
731.08,0.012
730.1,0.011
729.12,0.011
728.14,0.012
727.16,0.013
726.18,0.013
725.2,0.010
724.22,0.010
723.24,0.012
722.26,0.012
721.28,0.014
720.3,0.016
719.32,0.014
718.34,0.014
717.36,0.013
716.38,0.013
715.4,0.014
714.42,0.017
713.44,0.018
712.46,0.021
711.48,0.027
710.5,0.028
709.52,0.031
708.54,0.031
707.56,0.029
706.58,0.026
705.6,0.022
704.62,0.022
703.64,0.019
702.66,0.017
701.68,0.018
700.7,0.018
699.72,0.018
698.74,0.019
697.76,0.021
696.78,0.025
695.8,0.026
694.82,0.026
693.84,0.028
692.86,0.032
691.88,0.046
690.9,0.063
689.92,0.081
688.94,0.100
687.96,0.130
686.98,0.153
686.0,0.172
685.02,0.187
684.04,0.189
683.06,0.186
682.08,0.182
681.1,0.179
680.12,0.179
679.14,0.182
678.16,0.184
677.18,0.187
676.2,0.187
675.22,0.192
674.24,0.203
673.26,0.230
672.28,0.269
671.3,0.320
670.32,0.396
669.34,0.509
668.36,0.648
667.38,0.772
666.4,0.873
665.42,0.953
664.44,0.963
663.46,0.889
662.48,0.765
661.5,0.614
660.52,0.451
659.54,0.310
658.56,0.228
657.58,0.187
656.6,0.165
655.62,0.151
654.64,0.142
653.66,0.139
652.68,0.141
651.7,0.145
650.72,0.151
649.74,0.155
648.76,0.159
647.78,0.168
646.8,0.179
645.82,0.195
644.84,0.212
643.86,0.227
642.88,0.234
641.9,0.232
640.92,0.230
639.94,0.236
638.96,0.250
637.98,0.268
637.0,0.279
636.02,0.269
635.04,0.247
634.06,0.225
633.08,0.208
632.1,0.200
631.12,0.202
630.14,0.200
629.16,0.191
628.18,0.176
627.2,0.156
626.22,0.121
625.24,0.081
624.26,0.051
623.28,0.030
622.3,0.018
621.32,0.011
620.34,0.010
619.36,0.008
618.38,0.008
617.4,0.010
616.42,0.010
615.44,0.013
614.46,0.012
613.48,0.012
612.5,0.012
611.52,0.014
610.54,0.014
609.56,0.016
608.58,0.019
607.6,0.027
606.62,0.035
605.64,0.053
604.66,0.071
603.68,0.102
602.7,0.152
601.72,0.206
600.74,0.261
599.76,0.328
598.78,0.428
597.8,0.549
596.82,0.671
595.84,0.800
594.86,0.929
593.88,0.992
592.9,1.000
591.92,0.971
590.94,0.925
589.96,0.850
588.98,0.767
588.0,0.661
587.02,0.548
586.04,0.422
585.06,0.307
584.08,0.216
583.1,0.154
582.12,0.107
581.14,0.076
580.16,0.051
579.18,0.037
578.2,0.024
577.22,0.018
576.24,0.014
575.26,0.014
574.28,0.012
573.3,0.012
572.32,0.009
571.34,0.010
570.36,0.009
569.38,0.009
568.4,0.008
567.42,0.009
566.44,0.008
565.46,0.008
564.48,0.008
563.5,0.008
562.52,0.009
561.54,0.008
560.56,0.011
559.58,0.010
558.6,0.007
557.62,0.008
556.64,0.008
555.66,0.007
554.68,0.007
553.7,0.007
552.72,0.009
551.74,0.010
550.76,0.012
549.78,0.013
