wavelength,amplitude
999.9,0.101
999.0,0.101
998.1,0.103
997.2,0.103
996.3,0.099
995.4,0.098
994.5,0.096
993.6,0.096
992.7,0.095
991.8,0.092
990.9,0.092
990.0,0.091
989.1,0.090
988.2,0.090
987.3,0.091
986.4,0.090
985.5,0.090
984.6,0.091
983.7,0.092
982.8,0.092
981.9,0.094
981.0,0.095
980.1,0.097
979.2,0.100
978.3,0.100
977.4,0.100
976.5,0.101
975.6,0.103
974.7,0.104
973.8,0.103
972.9,0.106
972.0,0.107
971.1,0.106
970.2,0.107
969.3,0.108
968.4,0.109
967.5,0.109
966.6,0.110
965.7,0.109
964.8,0.110
963.9,0.110
963.0,0.111
962.1,0.111
961.2,0.112
960.3,0.111
959.4,0.113
958.5,0.113
957.6,0.113
956.7,0.114
955.8,0.113
954.9,0.114
954.0,0.116
953.1,0.118
952.2,0.118
951.3,0.119
950.4,0.119
949.5,0.119
948.6,0.119
947.7,0.120
946.8,0.122
945.9,0.120
945.0,0.120
944.1,0.125
943.2,0.127
942.3,0.126
941.4,0.126
940.5,0.126
939.6,0.126
938.7,0.127
937.8,0.126
936.9,0.126
936.0,0.127
935.1,0.127
934.2,0.126
933.3,0.129
932.4,0.129
931.5,0.129
930.6,0.129
929.7,0.129
928.8,0.129
927.9,0.129
927.0,0.130
926.1,0.132
925.2,0.134
924.3,0.134
923.4,0.133
922.5,0.133
921.6,0.134
920.7,0.132
919.8,0.136
918.9,0.135
918.0,0.136
917.1,0.136
916.2,0.137
915.3,0.138
914.4,0.138
913.5,0.139
912.6,0.144
911.7,0.146
910.8,0.147
909.9,0.142
909.0,0.144
908.1,0.142
907.2,0.143
906.3,0.146
905.4,0.148
904.5,0.151
903.6,0.154
902.7,0.157
901.8,0.158
900.9,0.157
900.0,0.153
899.1,0.148
898.2,0.142
897.3,0.138
896.4,0.138
895.5,0.136
894.6,0.137
893.7,0.136
892.8,0.137
891.9,0.137
891.0,0.137
890.1,0.137
889.2,0.139
888.3,0.137
887.4,0.138
886.5,0.138
885.6,0.138
884.7,0.139
883.8,0.141
882.9,0.142
882.0,0.142
881.1,0.144
880.2,0.143
879.3,0.143
878.4,0.144
877.5,0.140
876.6,0.142
875.7,0.142
874.8,0.144
873.9,0.145
873.0,0.148
872.1,0.155
871.2,0.162
870.3,0.168
869.4,0.176
868.5,0.179
867.6,0.188
866.7,0.190
865.8,0.195
864.9,0.202
864.0,0.215
863.1,0.223
862.2,0.224
861.3,0.217
860.4,0.203
859.5,0.182
858.6,0.166
857.7,0.156
856.8,0.151
855.9,0.147
855.0,0.146
854.1,0.150
853.2,0.146
852.3,0.142
851.4,0.140
850.5,0.141
849.6,0.141
848.7,0.140
847.8,0.135
846.9,0.133
846.0,0.129
845.1,0.129
844.2,0.127
843.3,0.128
842.4,0.127
841.5,0.127
840.6,0.127
839.7,0.127
838.8,0.125
837.9,0.127
837.0,0.125
836.1,0.125
835.2,0.127
834.3,0.126
833.4,0.125
832.5,0.126
831.6,0.126
830.7,0.128
829.8,0.130
828.9,0.131
828.0,0.132
827.1,0.132
826.2,0.134
825.3,0.136
824.4,0.137
823.5,0.133
822.6,0.136
821.7,0.137
820.8,0.140
819.9,0.140
819.0,0.143
818.1,0.144
817.2,0.145
816.3,0.148
815.4,0.149
814.5,0.150
813.6,0.153
812.7,0.152
811.8,0.156
810.9,0.161
810.0,0.164
809.1,0.168
808.2,0.170
807.3,0.172
806.4,0.174
