wavelength,amplitude
952.85,0.179
951.9,0.179
950.95,0.180
950.0,0.180
949.05,0.182
948.1,0.182
947.15,0.183
946.2,0.184
945.25,0.186
944.3,0.188
943.35,0.188
942.4,0.188
941.45,0.186
940.5,0.186
939.55,0.189
938.6,0.190
937.65,0.189
936.7,0.189
935.75,0.187
934.8,0.187
933.85,0.188
932.9,0.188
931.95,0.189
931.0,0.189
930.05,0.188
929.1,0.188
928.15,0.188
927.2,0.187
926.25,0.187
925.3,0.187
924.35,0.187
923.4,0.187
922.45,0.187
921.5,0.187
920.55,0.185
919.6,0.185
918.65,0.186
917.7,0.186
916.75,0.187
915.8,0.188
914.85,0.188
913.9,0.186
912.95,0.186
912.0,0.185
911.05,0.186
910.1,0.186
909.15,0.186
908.2,0.186
907.25,0.186
906.3,0.185
905.35,0.185
904.4,0.186
903.45,0.186
902.5,0.186
901.55,0.186
900.6,0.186
899.65,0.185
898.7,0.185
897.75,0.185
896.8,0.184
895.85,0.183
894.9,0.183
893.95,0.183
893.0,0.184
892.05,0.182
891.1,0.182
890.15,0.181
889.2,0.181
888.25,0.180
887.3,0.181
886.35,0.181
885.4,0.180
884.45,0.181
883.5,0.183
882.55,0.183
881.6,0.182
880.65,0.182
879.7,0.180
878.75,0.181
877.8,0.182
876.85,0.182
875.9,0.181
874.95,0.180
874.0,0.179
873.05,0.179
872.1,0.180
871.15,0.179
870.2,0.178
869.25,0.177
868.3,0.175
867.35,0.174
866.4,0.174
865.45,0.174
864.5,0.173
863.55,0.172
862.6,0.171
861.65,0.171
860.7,0.171
859.75,0.170
858.8,0.168
857.85,0.168
856.9,0.168
855.95,0.168
855.0,0.167
854.05,0.166
853.1,0.166
852.15,0.167
851.2,0.167
850.25,0.166
849.3,0.167
848.35,0.167
847.4,0.168
846.45,0.167
845.5,0.167
844.55,0.166
843.6,0.166
842.65,0.166
841.7,0.166
840.75,0.167
839.8,0.165
838.85,0.165
837.9,0.165
836.95,0.165
836.0,0.165
835.05,0.164
834.1,0.164
833.15,0.164
832.2,0.165
831.25,0.164
830.3,0.164
829.35,0.164
828.4,0.164
827.45,0.164
826.5,0.165
825.55,0.167
824.6,0.167
823.65,0.167
822.7,0.167
821.75,0.168
820.8,0.168
819.85,0.168
818.9,0.168
817.95,0.168
817.0,0.169
816.05,0.170
815.1,0.170
814.15,0.172
813.2,0.171
812.25,0.173
811.3,0.173
810.35,0.173
809.4,0.173
808.45,0.173
807.5,0.173
806.55,0.176
805.6,0.176
804.65,0.177
803.7,0.176
802.75,0.176
801.8,0.176
800.85,0.177
799.9,0.176
798.95,0.177
798.0,0.177
797.05,0.176
796.1,0.177
795.15,0.181
794.2,0.183
793.25,0.184
792.3,0.185
791.35,0.186
790.4,0.188
789.45,0.189
788.5,0.191
787.55,0.196
786.6,0.198
785.65,0.201
784.7,0.204
783.75,0.208
782.8,0.212
781.85,0.216
780.9,0.220
779.95,0.225
779.0,0.229
778.05,0.234
777.1,0.238
776.15,0.243
775.2,0.247
774.25,0.254
773.3,0.257
772.35,0.262
771.4,0.265
770.45,0.272
769.5,0.275
768.55,0.280
767.6,0.281
766.65,0.285
765.7,0.286
764.75,0.290
763.8,0.291
762.85,0.293
761.9,0.293
760.95,0.292
760.0,0.294
759.05,0.293
758.1,0.293
757.15,0.292
756.2,0.293
755.25,0.292
754.3,0.292
753.35,0.291
752.4,0.291
751.45,0.290
750.5,0.290
749.55,0.289
748.6,0.288
747.65,0.287
746.7,0.288
745.75,0.287
744.8,0.290
743.85,0.289
742.9,0.291
741.95,0.292
741.0,0.296
740.05,0.296
739.1,0.300
738.15,0.301
737.2,0.308
736.25,0.309
735.3,0.315
734.35,0.320
733.4,0.329
732.45,0.332
731.5,0.339
730.55,0.345
729.6,0.354
728.65,0.359
727.7,0.368
726.75,0.374
725.8,0.382
724.85,0.389
723.9,0.397
722.95,0.401
722.0,0.406
721.05,0.411
720.1,0.418
719.15,0.423
718.2,0.429
717.25,0.432
716.3,0.440
715.35,0.443
714.4,0.447
713.45,0.450
712.5,0.456
711.55,0.460
710.6,0.465
709.65,0.467
708.7,0.471
707.75,0.473
706.8,0.477
705.85,0.479
704.9,0.483
703.95,0.484
703.0,0.488
702.05,0.489
701.1,0.492
700.15,0.494
699.2,0.498
698.25,0.499
697.3,0.506
696.35,0.509
695.4,0.513
694.45,0.515
693.5,0.520
692.55,0.522
691.6,0.528
690.65,0.531
689.7,0.535
688.75,0.536
687.8,0.540
686.85,0.542
685.9,0.543
684.95,0.542
684.0,0.543
683.05,0.547
682.1,0.547
681.15,0.549
680.2,0.549
679.25,0.550
678.3,0.553
677.35,0.557
676.4,0.559
675.45,0.563
674.5,0.566
673.55,0.571
672.6,0.572
671.65,0.576
670.7,0.580
669.75,0.586
668.8,0.591
667.85,0.598
666.9,0.605
665.95,0.614
665.0,0.622
664.05,0.631
663.1,0.638
662.15,0.647
661.2,0.655
660.25,0.667
659.3,0.674
658.35,0.682
657.4,0.690
656.45,0.699
655.5,0.707
654.55,0.715
653.6,0.722
652.65,0.731
651.7,0.738
650.75,0.748
649.8,0.756
648.85,0.767
647.9,0.774
646.95,0.782
646.0,0.788
645.05,0.795
644.1,0.802
643.15,0.809
642.2,0.816
641.25,0.824
640.3,0.831
639.35,0.842
638.4,0.850
637.45,0.861
636.5,0.871
635.55,0.881
634.6,0.888
633.65,0.891
632.7,0.894
631.75,0.897
630.8,0.900
629.85,0.907
628.9,0.912
627.95,0.918
627.0,0.923
626.05,0.927
625.1,0.930
624.15,0.933
623.2,0.936
622.25,0.940
621.3,0.942
620.35,0.946
619.4,0.947
618.45,0.950
617.5,0.949
616.55,0.950
615.6,0.949
614.65,0.950
613.7,0.949
612.75,0.950
611.8,0.947
610.85,0.950
609.9,0.950
608.95,0.957
608.0,0.961
607.05,0.963
606.1,0.968
605.15,0.969
604.2,0.970
603.25,0.968
602.3,0.967
601.35,0.960
600.4,0.954
599.45,0.946
598.5,0.937
597.55,0.925
596.6,0.912
595.65,0.897
594.7,0.883
593.75,0.870
592.8,0.858
591.85,0.848
590.9,0.839
589.95,0.833
589.0,0.827
588.05,0.824
587.1,0.823
586.15,0.820
585.2,0.819
584.25,0.823
583.3,0.829
582.35,0.835
581.4,0.842
580.45,0.849
579.5,0.856
578.55,0.863
577.6,0.870
576.65,0.877
575.7,0.886
574.75,0.892
573.8,0.899
572.85,0.906
571.9,0.914
570.95,0.920
570.0,0.911
569.05,0.901
568.1,0.892
567.15,0.883
566.2,0.875
565.25,0.866
564.3,0.857
563.35,0.849
562.4,0.841
561.45,0.832
560.5,0.826
559.55,0.818
558.6,0.812
557.65,0.804
556.7,0.799
555.75,0.799
554.8,0.800
553.85,0.800
552.9,0.801
551.95,0.800
551.0,0.800
550.05,0.800
549.1,0.798
548.15,0.798
547.2,0.797
546.25,0.796
545.3,0.794
544.35,0.792
543.4,0.791
542.45,0.790
541.5,0.787
540.55,0.785
539.6,0.781
538.65,0.778
537.7,0.774
536.75,0.771
535.8,0.767
534.85,0.764
533.9,0.761
532.95,0.758
532.0,0.757
531.05,0.759
530.1,0.763
529.15,0.769
528.2,0.773
527.25,0.779
526.3,0.784
525.35,0.792
524.4,0.802
523.45,0.813
522.5,0.828
521.55,0.844
520.6,0.862
519.65,0.881
518.7,0.897
517.75,0.914
516.8,0.930
515.85,0.947
514.9,0.960
513.95,0.974
513.0,0.981
512.05,0.989
511.1,0.992
510.15,0.995
509.2,0.996
508.25,0.998
507.3,0.998
506.35,0.999
505.4,0.999
504.45,1.000
503.5,0.999
502.55,0.998
501.6,0.997
500.65,0.997
499.7,0.997
498.75,0.996
497.8,0.995
496.85,0.993
495.9,0.992
494.95,0.988
494.0,0.985
493.05,0.981
492.1,0.977
491.15,0.971
490.2,0.964
489.25,0.955
488.3,0.948
487.35,0.939
486.4,0.930
485.45,0.919
484.5,0.908
483.55,0.893
482.6,0.878
481.65,0.860
480.7,0.843
479.75,0.825
478.8,0.809
477.85,0.793
476.9,0.779
475.95,0.767
475.0,0.755
474.05,0.747
473.1,0.739
472.15,0.735
471.2,0.731
470.25,0.727
469.3,0.725
468.35,0.723
467.4,0.722
466.45,0.722
465.5,0.722
464.55,0.725
463.6,0.726
462.65,0.726
461.7,0.726
460.75,0.727
459.8,0.726
458.85,0.726
457.9,0.726
456.95,0.724
456.0,0.722
455.05,0.720
454.1,0.717
453.15,0.715
452.2,0.713
451.25,0.712
450.3,0.710
449.35,0.711
448.4,0.712
447.45,0.713
446.5,0.715
445.55,0.716
444.6,0.717
443.65,0.717
442.7,0.716
441.75,0.716
440.8,0.716
439.85,0.718
438.9,0.719
437.95,0.720
437.0,0.720
436.05,0.722
435.1,0.724
434.15,0.726
433.2,0.729
432.25,0.730
431.3,0.732
430.35,0.733
429.4,0.735
428.45,0.737
427.5,0.739
426.55,0.742
425.6,0.745
424.65,0.749
423.7,0.752
422.75,0.755
421.8,0.758
420.85,0.762
419.9,0.764
418.95,0.767
418.0,0.769
417.05,0.771
416.1,0.772
415.15,0.771
414.2,0.769
413.25,0.766
412.3,0.762
411.35,0.758
410.4,0.754
409.45,0.749
408.5,0.744
407.55,0.739
406.6,0.734
405.65,0.728
404.7,0.720
403.75,0.710
402.8,0.700
401.85,0.689
400.9,0.679
399.95,0.670
399.0,0.660
398.05,0.652
397.1,0.645
396.15,0.641
395.2,0.638
394.25,0.634
393.3,0.633
392.35,0.632
391.4,0.629
390.45,0.627
389.5,0.626
388.55,0.626
387.6,0.624
386.65,0.623
385.7,0.622
384.75,0.621
383.8,0.620
382.85,0.619
381.9,0.619
380.95,0.618
380.0,0.617
