wavelength,amplitude
932.9,0.023
931.95,0.023
931.0,0.023
930.05,0.023
929.1,0.023
928.15,0.023
927.2,0.023
926.25,0.023
925.3,0.023
924.35,0.023
923.4,0.023
922.45,0.023
921.5,0.023
920.55,0.023
919.6,0.023
918.65,0.023
917.7,0.023
916.75,0.023
915.8,0.023
914.85,0.023
913.9,0.023
912.95,0.023
912.0,0.023
911.05,0.023
910.1,0.023
909.15,0.023
908.2,0.023
907.25,0.023
906.3,0.023
905.35,0.023
904.4,0.023
903.45,0.023
902.5,0.023
901.55,0.023
900.6,0.023
899.65,0.023
898.7,0.023
897.75,0.023
896.8,0.023
895.85,0.023
894.9,0.023
893.95,0.023
893.0,0.023
892.05,0.023
891.1,0.023
890.15,0.023
889.2,0.023
888.25,0.023
887.3,0.023
886.35,0.023
885.4,0.023
884.45,0.023
883.5,0.023
882.55,0.023
881.6,0.023
880.65,0.023
879.7,0.023
878.75,0.023
877.8,0.023
876.85,0.023
875.9,0.023
874.95,0.023
874.0,0.023
873.05,0.023
872.1,0.023
871.15,0.023
870.2,0.023
869.25,0.023
868.3,0.023
867.35,0.023
866.4,0.023
865.45,0.023
864.5,0.023
863.55,0.023
862.6,0.023
861.65,0.023
860.7,0.023
859.75,0.023
858.8,0.023
857.85,0.023
856.9,0.023
855.95,0.023
855.0,0.023
854.05,0.023
853.1,0.023
852.15,0.023
851.2,0.023
850.25,0.023
849.3,0.023
848.35,0.023
847.4,0.023
846.45,0.023
845.5,0.023
844.55,0.023
843.6,0.023
842.65,0.023
841.7,0.023
840.75,0.023
839.8,0.023
838.85,0.023
837.9,0.023
836.95,0.023
836.0,0.023
835.05,0.023
834.1,0.023
833.15,0.023
832.2,0.023
831.25,0.023
830.3,0.023
829.35,0.023
828.4,0.023
827.45,0.023
826.5,0.023
825.55,0.023
824.6,0.023
823.65,0.023
822.7,0.023
821.75,0.023
820.8,0.023
819.85,0.023
818.9,0.023
817.95,0.023
817.0,0.023
816.05,0.023
815.1,0.023
814.15,0.023
813.2,0.023
812.25,0.023
811.3,0.023
810.35,0.023
809.4,0.023
808.45,0.023
807.5,0.023
806.55,0.022
805.6,0.022
804.65,0.022
803.7,0.022
802.75,0.022
801.8,0.022
800.85,0.022
799.9,0.022
798.95,0.022
798.0,0.022
797.05,0.022
796.1,0.022
795.15,0.021
794.2,0.021
793.25,0.021
792.3,0.021
791.35,0.021
790.4,0.021
789.45,0.021
788.5,0.021
787.55,0.021
786.6,0.021
785.65,0.021
784.7,0.021
783.75,0.021
782.8,0.020
781.85,0.020
780.9,0.020
779.95,0.020
779.0,0.020
778.05,0.020
777.1,0.020
776.15,0.020
775.2,0.020
774.25,0.020
773.3,0.020
772.35,0.020
771.4,0.020
770.45,0.020
769.5,0.019
768.55,0.019
767.6,0.019
766.65,0.019
765.7,0.019
764.75,0.019
763.8,0.019
762.85,0.019
761.9,0.019
760.95,0.019
760.0,0.019
759.05,0.019
758.1,0.019
757.15,0.019
756.2,0.019
755.25,0.019
754.3,0.018
753.35,0.018
752.4,0.018
751.45,0.018
750.5,0.018
749.55,0.018
748.6,0.018
747.65,0.018
746.7,0.018
745.75,0.018
744.8,0.018
743.85,0.018
742.9,0.018
741.95,0.018
741.0,0.018
740.05,0.018
739.1,0.018
738.15,0.018
737.2,0.017
736.25,0.017
735.3,0.017
734.35,0.017
733.4,0.017
732.45,0.017
731.5,0.017
730.55,0.017
729.6,0.017
728.65,0.017
727.7,0.017
726.75,0.017
725.8,0.017
724.85,0.017
723.9,0.017
722.95,0.017
722.0,0.017
721.05,0.017
720.1,0.017
719.15,0.017
718.2,0.016
717.25,0.016
716.3,0.016
715.35,0.016
714.4,0.016
713.45,0.016
712.5,0.016
711.55,0.016
710.6,0.016
709.65,0.016
708.7,0.016
707.75,0.016
706.8,0.016
705.85,0.016
704.9,0.016
703.95,0.016
703.0,0.016
702.05,0.016
701.1,0.016
700.15,0.016
699.2,0.016
698.25,0.016
697.3,0.016
696.35,0.015
695.4,0.015
694.45,0.015
693.5,0.015
692.55,0.015
691.6,0.015
690.65,0.015
689.7,0.015
688.75,0.015
687.8,0.015
686.85,0.015
685.9,0.015
684.95,0.015
684.0,0.015
683.05,0.015
682.1,0.015
681.15,0.015
680.2,0.015
679.25,0.015
678.3,0.015
677.35,0.015
676.4,0.015
675.45,0.015
674.5,0.015
673.55,0.015
672.6,0.014
671.65,0.014
670.7,0.014
669.75,0.014
668.8,0.014
667.85,0.014
666.9,0.014
665.95,0.014
665.0,0.014
664.05,0.014
663.1,0.014
662.15,0.014
661.2,0.014
660.25,0.014
659.3,0.013
658.35,0.013
657.4,0.013
656.45,0.013
655.5,0.013
654.55,0.013
653.6,0.013
652.65,0.013
651.7,0.014
650.75,0.014
649.8,0.014
648.85,0.014
647.9,0.011
646.95,0.011
646.0,0.011
645.05,0.011
644.1,0.012
643.15,0.014
642.2,0.022
641.25,0.033
640.3,0.050
639.35,0.066
638.4,0.085
637.45,0.098
636.5,0.108
635.55,0.113
634.6,0.119
633.65,0.120
632.7,0.125
631.75,0.127
630.8,0.133
629.85,0.136
628.9,0.141
627.95,0.144
627.0,0.151
626.05,0.157
625.1,0.167
624.15,0.191
623.2,0.227
622.25,0.284
621.3,0.366
620.35,0.465
619.4,0.597
618.45,0.721
617.5,0.853
616.55,0.950
615.6,1.000
614.65,0.998
613.7,0.911
612.75,0.801
611.8,0.642
610.85,0.503
609.9,0.374
608.95,0.272
608.0,0.214
607.05,0.172
606.1,0.159
605.15,0.152
604.2,0.165
603.25,0.183
602.3,0.199
601.35,0.214
600.4,0.216
599.45,0.218
598.5,0.226
597.55,0.233
596.6,0.260
595.65,0.286
594.7,0.303
593.75,0.318
592.8,0.310
591.85,0.305
590.9,0.310
589.95,0.317
589.0,0.341
588.05,0.363
587.1,0.362
586.15,0.360
585.2,0.343
584.25,0.326
583.3,0.318
582.35,0.310
581.4,0.314
580.45,0.324
579.5,0.323
578.55,0.324
577.6,0.295
576.65,0.261
575.7,0.201
574.75,0.138
573.8,0.093
572.85,0.058
571.9,0.040
570.95,0.025
570.0,0.015
569.05,0.012
568.1,0.012
567.15,0.013
566.2,0.013
565.25,0.013
564.3,0.013
563.35,0.015
562.4,0.015
561.45,0.017
560.5,0.021
559.55,0.024
558.6,0.027
557.65,0.034
556.7,0.044
555.75,0.059
554.8,0.084
553.85,0.113
552.9,0.154
551.95,0.200
551.0,0.262
550.05,0.329
549.1,0.409
548.15,0.499
547.2,0.604
546.25,0.718
545.3,0.808
544.35,0.865
543.4,0.892
542.45,0.891
541.5,0.879
540.55,0.853
539.6,0.820
538.65,0.769
537.7,0.697
536.75,0.609
535.8,0.516
534.85,0.418
533.9,0.323
532.95,0.246
532.0,0.173
531.05,0.127
530.1,0.092
529.15,0.068
528.2,0.046
527.25,0.033
526.3,0.023
525.35,0.018
524.4,0.012
523.45,0.011
522.5,0.011
521.55,0.011
520.6,0.010
519.65,0.010
518.7,0.010
517.75,0.010
516.8,0.010
515.85,0.010
514.9,0.010
513.95,0.010
513.0,0.012
512.05,0.012
511.1,0.012
510.15,0.011
509.2,0.011
508.25,0.011
507.3,0.011
506.35,0.011
505.4,0.010
504.45,0.010
503.5,0.010
502.55,0.011
501.6,0.011
500.65,0.012
499.7,0.016
498.75,0.018
497.8,0.025
496.85,0.032
495.9,0.041
494.95,0.051
494.0,0.062
493.05,0.075
492.1,0.087
491.15,0.100
490.2,0.114
489.25,0.128
488.3,0.144
487.35,0.159
486.4,0.174
485.45,0.189
484.5,0.203
483.55,0.210
482.6,0.213
481.65,0.201
480.7,0.181
479.75,0.153
478.8,0.118
477.85,0.089
476.9,0.060
475.95,0.041
475.0,0.025
474.05,0.017
473.1,0.012
472.15,0.011
471.2,0.009
470.25,0.010
469.3,0.009
468.35,0.009
467.4,0.009
466.45,0.009
465.5,0.009
464.55,0.009
463.6,0.010
462.65,0.010
461.7,0.010
460.75,0.010
459.8,0.009
458.85,0.009
457.9,0.009
456.95,0.009
456.0,0.009
455.05,0.009
454.1,0.009
453.15,0.009
452.2,0.009
451.25,0.009
450.3,0.009
449.35,0.009
448.4,0.009
447.45,0.009
446.5,0.009
445.55,0.009
444.6,0.009
443.65,0.009
442.7,0.009
441.75,0.009
440.8,0.009
439.85,0.009
438.9,0.009
437.95,0.009
437.0,0.009
436.05,0.009
435.1,0.017
434.15,0.028
433.2,0.048
432.25,0.069
431.3,0.083
430.35,0.092
429.4,0.082
428.45,0.070
427.5,0.059
426.55,0.048
425.6,0.034
424.65,0.021
423.7,0.011
422.75,0.009
421.8,0.009
420.85,0.009
419.9,0.009
418.95,0.009
418.0,0.009
417.05,0.009
416.1,0.009
415.15,0.009
414.2,0.009
413.25,0.009
412.3,0.009
411.35,0.009
410.4,0.009
409.45,0.009
408.5,0.009
407.55,0.009
406.6,0.008
405.65,0.008
404.7,0.008
403.75,0.008
402.8,0.008
401.85,0.008
400.9,0.008
399.95,0.008
399.0,0.008
398.05,0.008
397.1,0.008
396.15,0.008
395.2,0.008
394.25,0.008
393.3,0.008
392.35,0.008
391.4,0.008
390.45,0.008
389.5,0.008
388.55,0.008
387.6,0.008
386.65,0.008
385.7,0.008
384.75,0.008
383.8,0.008
382.85,0.008
381.9,0.008
380.95,0.008
380.0,0.008
