wavelength,amplitude
999.22,0.012
998.28,0.012
997.34,0.012
996.4,0.012
995.46,0.012
994.52,0.012
993.58,0.012
992.64,0.012
991.7,0.012
990.76,0.013
989.82,0.013
988.88,0.013
987.94,0.013
987.0,0.013
986.06,0.018
985.12,0.018
984.18,0.018
983.24,0.019
982.3,0.019
981.36,0.020
980.42,0.015
979.48,0.016
978.54,0.018
977.6,0.018
976.66,0.018
975.72,0.019
974.78,0.019
973.84,0.019
972.9,0.018
971.96,0.018
971.02,0.017
970.08,0.016
969.14,0.016
968.2,0.017
967.26,0.017
966.32,0.018
965.38,0.019
964.44,0.020
963.5,0.023
962.56,0.023
961.62,0.025
960.68,0.027
959.74,0.027
958.8,0.029
957.86,0.030
956.92,0.031
955.98,0.034
955.04,0.033
954.1,0.035
953.16,0.035
952.22,0.036
951.28,0.037
950.34,0.036
949.4,0.036
948.46,0.035
947.52,0.034
946.58,0.031
945.64,0.029
944.7,0.029
943.76,0.028
942.82,0.028
941.88,0.028
940.94,0.029
940.0,0.030
939.06,0.030
938.12,0.030
937.18,0.029
936.24,0.030
935.3,0.030
934.36,0.029
933.42,0.027
932.48,0.025
931.54,0.025
930.6,0.025
929.66,0.026
928.72,0.026
927.78,0.026
926.84,0.026
925.9,0.026
924.96,0.026
924.02,0.026
923.08,0.026
922.14,0.027
921.2,0.027
920.26,0.028
919.32,0.028
918.38,0.027
917.44,0.027
916.5,0.027
915.56,0.027
914.62,0.027
913.68,0.028
912.74,0.027
911.8,0.028
910.86,0.031
909.92,0.033
908.98,0.033
908.04,0.036
907.1,0.038
906.16,0.039
905.22,0.040
904.28,0.040
903.34,0.043
902.4,0.043
901.46,0.045
900.52,0.046
899.58,0.045
898.64,0.045
897.7,0.045
896.76,0.043
895.82,0.040
894.88,0.039
893.94,0.035
893.0,0.034
892.06,0.039
891.12,0.040
890.18,0.040
889.24,0.041
888.3,0.042
887.36,0.042
886.42,0.038
885.48,0.039
884.54,0.044
883.6,0.043
882.66,0.044
881.72,0.044
880.78,0.045
879.84,0.045
878.9,0.046
877.96,0.047
877.02,0.047
876.08,0.047
875.14,0.049
874.2,0.047
873.26,0.047
872.32,0.046
871.38,0.044
870.44,0.043
869.5,0.043
868.56,0.043
867.62,0.042
866.68,0.042
865.74,0.043
864.8,0.044
863.86,0.045
862.92,0.045
861.98,0.046
861.04,0.046
860.1,0.047
859.16,0.047
858.22,0.048
857.28,0.048
856.34,0.049
855.4,0.049
854.46,0.048
853.52,0.048
852.58,0.049
851.64,0.050
850.7,0.050
849.76,0.052
848.82,0.053
847.88,0.054
846.94,0.055
846.0,0.055
845.06,0.056
844.12,0.056
843.18,0.057
842.24,0.059
841.3,0.059
840.36,0.060
839.42,0.059
838.48,0.059
837.54,0.059
836.6,0.059
835.66,0.061
834.72,0.063
833.78,0.066
832.84,0.067
831.9,0.073
830.96,0.076
830.02,0.080
829.08,0.081
828.14,0.081
827.2,0.083
826.26,0.086
825.32,0.089
824.38,0.089
823.44,0.089
822.5,0.088
821.56,0.085
820.62,0.081
819.68,0.079
818.74,0.078
817.8,0.074
816.86,0.069
815.92,0.067
814.98,0.065
814.04,0.064
813.1,0.060
812.16,0.060
811.22,0.060
810.28,0.063
809.34,0.064
808.4,0.066
807.46,0.071
806.52,0.074
805.58,0.075
804.64,0.077
803.7,0.081
802.76,0.083
801.82,0.087
800.88,0.090
799.94,0.092
799.0,0.092
798.06,0.098
797.12,0.100
796.18,0.104
795.24,0.107
794.3,0.115
793.36,0.114
792.42,0.123
791.48,0.133
790.54,0.144
789.6,0.147
788.66,0.152
787.72,0.157
786.78,0.161
785.84,0.165
784.9,0.169
783.96,0.173
783.02,0.175
782.08,0.175
781.14,0.176
780.2,0.174
779.26,0.172
778.32,0.173
777.38,0.173
776.44,0.178
775.5,0.178
774.56,0.176
773.62,0.170
772.68,0.163
771.74,0.153
770.8,0.147
769.86,0.148
768.92,0.147
767.98,0.148
767.04,0.148
766.1,0.148
765.16,0.148
764.22,0.145
763.28,0.141
762.34,0.137
761.4,0.135
760.46,0.135
759.52,0.134
758.58,0.136
757.64,0.133
756.7,0.132
755.76,0.128
754.82,0.125
753.88,0.123
752.94,0.125
752.0,0.128
751.06,0.132
750.12,0.140
749.18,0.148
748.24,0.154
747.3,0.159
746.36,0.165
745.42,0.175
744.48,0.177
743.54,0.182
742.6,0.185
741.66,0.186
740.72,0.188
739.78,0.190
738.84,0.188
737.9,0.186
736.96,0.185
736.02,0.180
735.08,0.173
734.14,0.166
733.2,0.156
732.26,0.146
731.32,0.136
730.38,0.126
729.44,0.117
728.5,0.111
727.56,0.107
726.62,0.102
725.68,0.097
724.74,0.093
723.8,0.089
722.86,0.082
721.92,0.078
720.98,0.073
720.04,0.070
