wavelength,amplitude
964.25,0.030
963.3,0.030
962.35,0.030
961.4,0.030
960.45,0.030
959.5,0.030
958.55,0.030
957.6,0.030
956.65,0.030
955.7,0.030
954.75,0.030
953.8,0.030
952.85,0.030
951.9,0.030
950.95,0.030
950.0,0.030
949.05,0.030
948.1,0.030
947.15,0.030
946.2,0.030
945.25,0.030
944.3,0.030
943.35,0.030
942.4,0.030
941.45,0.030
940.5,0.030
939.55,0.030
938.6,0.030
937.65,0.030
936.7,0.030
935.75,0.030
934.8,0.030
933.85,0.030
932.9,0.030
931.95,0.030
931.0,0.030
930.05,0.030
929.1,0.030
928.15,0.030
927.2,0.030
926.25,0.030
925.3,0.030
924.35,0.030
923.4,0.030
922.45,0.030
921.5,0.030
920.55,0.030
919.6,0.030
918.65,0.030
917.7,0.030
916.75,0.030
915.8,0.030
914.85,0.030
913.9,0.030
912.95,0.030
912.0,0.030
911.05,0.030
910.1,0.030
909.15,0.030
908.2,0.030
907.25,0.030
906.3,0.030
905.35,0.030
904.4,0.030
903.45,0.030
902.5,0.030
901.55,0.030
900.6,0.030
899.65,0.030
898.7,0.030
897.75,0.030
896.8,0.030
895.85,0.030
894.9,0.030
893.95,0.030
893.0,0.030
892.05,0.030
891.1,0.030
890.15,0.030
889.2,0.030
888.25,0.030
887.3,0.030
886.35,0.030
885.4,0.030
884.45,0.030
883.5,0.030
882.55,0.030
881.6,0.030
880.65,0.030
879.7,0.030
878.75,0.030
877.8,0.030
876.85,0.030
875.9,0.030
874.95,0.030
874.0,0.030
873.05,0.030
872.1,0.030
871.15,0.030
870.2,0.030
869.25,0.030
868.3,0.030
867.35,0.030
866.4,0.030
865.45,0.030
864.5,0.030
863.55,0.030
862.6,0.030
861.65,0.030
860.7,0.030
859.75,0.030
858.8,0.030
857.85,0.030
856.9,0.030
855.95,0.030
855.0,0.030
854.05,0.030
853.1,0.030
852.15,0.030
851.2,0.030
850.25,0.030
849.3,0.030
848.35,0.030
847.4,0.030
846.45,0.030
845.5,0.030
844.55,0.030
843.6,0.030
842.65,0.030
841.7,0.030
840.75,0.030
839.8,0.030
838.85,0.030
837.9,0.030
836.95,0.030
836.0,0.030
835.05,0.030
834.1,0.030
833.15,0.030
832.2,0.030
831.25,0.030
830.3,0.030
829.35,0.030
828.4,0.030
827.45,0.030
826.5,0.030
825.55,0.030
824.6,0.030
823.65,0.030
822.7,0.030
821.75,0.030
820.8,0.030
819.85,0.030
818.9,0.030
817.95,0.030
817.0,0.030
816.05,0.030
815.1,0.030
814.15,0.030
813.2,0.030
812.25,0.030
811.3,0.030
810.35,0.030
809.4,0.029
808.45,0.029
807.5,0.029
806.55,0.029
805.6,0.029
804.65,0.029
803.7,0.029
802.75,0.029
801.8,0.029
800.85,0.028
799.9,0.028
798.95,0.028
798.0,0.028
797.05,0.028
796.1,0.028
795.15,0.028
794.2,0.028
793.25,0.028
792.3,0.027
791.35,0.027
