wavelength,amplitude
999.6,0.043
998.62,0.043
997.64,0.043
996.66,0.043
995.68,0.043
994.7,0.043
993.72,0.043
992.74,0.043
991.76,0.043
990.78,0.043
989.8,0.043
988.82,0.043
987.84,0.043
986.86,0.043
985.88,0.043
984.9,0.043
983.92,0.043
982.94,0.043
981.96,0.043
980.98,0.043
980.0,0.043
979.02,0.043
978.04,0.043
977.06,0.043
976.08,0.043
975.1,0.043
974.12,0.043
973.14,0.043
972.16,0.043
971.18,0.043
970.2,0.043
969.22,0.043
968.24,0.043
967.26,0.043
966.28,0.043
965.3,0.043
964.32,0.043
963.34,0.043
962.36,0.043
961.38,0.043
960.4,0.043
959.42,0.043
958.44,0.043
957.46,0.043
956.48,0.043
955.5,0.043
954.52,0.043
953.54,0.043
952.56,0.043
951.58,0.043
950.6,0.043
949.62,0.043
948.64,0.043
947.66,0.043
946.68,0.043
945.7,0.043
944.72,0.043
943.74,0.043
942.76,0.043
941.78,0.043
940.8,0.042
939.82,0.042
938.84,0.042
937.86,0.042
936.88,0.042
935.9,0.042
934.92,0.042
933.94,0.042
932.96,0.043
931.98,0.043
931.0,0.043
930.02,0.043
929.04,0.043
928.06,0.043
927.08,0.043
926.1,0.043
925.12,0.041
924.14,0.041
923.16,0.041
922.18,0.041
921.2,0.041
920.22,0.041
919.24,0.041
918.26,0.041
917.28,0.043
916.3,0.043
915.32,0.043
914.34,0.043
913.36,0.043
912.38,0.043
911.4,0.043
910.42,0.043
909.44,0.041
908.46,0.041
907.48,0.041
906.5,0.041
905.52,0.040
904.54,0.040
903.56,0.040
902.58,0.040
901.6,0.042
900.62,0.042
899.64,0.042
898.66,0.042
897.68,0.043
896.7,0.043
895.72,0.043
894.74,0.043
893.76,0.040
892.78,0.040
891.8,0.040
890.82,0.040
889.84,0.041
888.86,0.041
887.88,0.040
886.9,0.040
885.92,0.043
884.94,0.043
883.96,0.043
882.98,0.043
882.0,0.042
881.02,0.042
880.04,0.042
879.06,0.042
878.08,0.042
