wavelength,amplitude
999.9,0.050
999.0,0.050
998.1,0.050
997.2,0.050
996.3,0.050
995.4,0.050
994.5,0.050
993.6,0.050
992.7,0.050
991.8,0.050
990.9,0.050
990.0,0.050
989.1,0.050
988.2,0.050
987.3,0.050
986.4,0.050
985.5,0.050
984.6,0.050
983.7,0.050
982.8,0.050
981.9,0.050
981.0,0.050
980.1,0.050
979.2,0.050
978.3,0.050
977.4,0.050
976.5,0.050
975.6,0.050
974.7,0.050
973.8,0.050
972.9,0.050
972.0,0.050
971.1,0.050
970.2,0.050
969.3,0.050
968.4,0.050
967.5,0.050
966.6,0.050
965.7,0.050
964.8,0.050
963.9,0.050
963.0,0.050
962.1,0.050
961.2,0.050
960.3,0.050
959.4,0.050
958.5,0.050
957.6,0.050
956.7,0.050
955.8,0.050
954.9,0.050
954.0,0.050
953.1,0.050
952.2,0.050
951.3,0.050
950.4,0.050
949.5,0.050
948.6,0.050
947.7,0.050
946.8,0.050
945.9,0.050
945.0,0.050
944.1,0.050
943.2,0.050
942.3,0.050
941.4,0.050
940.5,0.050
939.6,0.050
938.7,0.050
937.8,0.050
936.9,0.050
936.0,0.050
935.1,0.050
934.2,0.050
933.3,0.050
932.4,0.050
931.5,0.050
930.6,0.050
929.7,0.050
928.8,0.050
927.9,0.050
927.0,0.050
926.1,0.050
925.2,0.050
924.3,0.050
923.4,0.050
922.5,0.050
921.6,0.050
920.7,0.050
919.8,0.050
918.9,0.050
918.0,0.050
917.1,0.050
916.2,0.050
915.3,0.050
914.4,0.050
913.5,0.050
912.6,0.050
911.7,0.050
910.8,0.050
909.9,0.050
909.0,0.050
908.1,0.050
907.2,0.050
906.3,0.050
905.4,0.050
904.5,0.050
903.6,0.050
902.7,0.050
901.8,0.050
900.9,0.050
900.0,0.050
899.1,0.050
898.2,0.050
897.3,0.050
896.4,0.050
895.5,0.050
894.6,0.050
893.7,0.050
892.8,0.050
891.9,0.050
891.0,0.050
890.1,0.050
889.2,0.050
888.3,0.050
887.4,0.050
886.5,0.050
885.6,0.050
884.7,0.050
883.8,0.050
882.9,0.050
882.0,0.050
881.1,0.050
880.2,0.050
879.3,0.050
878.4,0.050
877.5,0.050
876.6,0.050
875.7,0.050
874.8,0.050
873.9,0.050
873.0,0.050
872.1,0.050
871.2,0.050
870.3,0.050
869.4,0.050
868.5,0.050
867.6,0.050
866.7,0.050
865.8,0.050
864.9,0.050
864.0,0.049
863.1,0.049
862.2,0.049
861.3,0.049
860.4,0.049
859.5,0.049
858.6,0.049
857.7,0.049
856.8,0.050
855.9,0.050
855.0,0.050
854.1,0.050
853.2,0.050
852.3,0.050
851.4,0.050
850.5,0.050
849.6,0.048
848.7,0.048
847.8,0.048
846.9,0.047
846.0,0.048
845.1,0.048
844.2,0.048
843.3,0.048
842.4,0.050
841.5,0.050
840.6,0.050
839.7,0.050
838.8,0.050
837.9,0.050
837.0,0.050
836.1,0.050
835.2,0.048
834.3,0.048
833.4,0.048
832.5,0.048
831.6,0.047
830.7,0.047
829.8,0.047
828.9,0.047
828.0,0.049
827.1,0.049
826.2,0.049
825.3,0.049
824.4,0.049
823.5,0.049
822.6,0.050
821.7,0.050
820.8,0.047
819.9,0.047
819.0,0.047
818.1,0.047
817.2,0.048
816.3,0.048
815.4,0.047
814.5,0.047
813.6,0.050
812.7,0.050
811.8,0.050
810.9,0.050
810.0,0.049
809.1,0.049
808.2,0.049
807.3,0.048
806.4,0.048
805.5,0.048
804.6,0.048
803.7,0.048
802.8,0.046
801.9,0.046
801.0,0.046
800.1,0.045
799.2,0.048
798.3,0.048
797.4,0.048
796.5,0.048
795.6,0.046
794.7,0.046
793.8,0.046
792.9,0.046
792.0,0.046
791.1,0.046
790.2,0.046
789.3,0.045
788.4,0.044
787.5,0.044
786.6,0.045
785.7,0.045
784.8,0.045
783.9,0.045
783.0,0.045
782.1,0.045
781.2,0.045
780.3,0.045
779.4,0.044
778.5,0.044
777.6,0.044
776.7,0.044
775.8,0.044
774.9,0.044
774.0,0.044
773.1,0.043
772.2,0.043
771.3,0.043
770.4,0.043
769.5,0.043
768.6,0.043
767.7,0.043
766.8,0.042
765.9,0.042
765.0,0.042
764.1,0.042
763.2,0.042
762.3,0.042
761.4,0.042
760.5,0.042
759.6,0.041
758.7,0.041
757.8,0.041
756.9,0.041
756.0,0.041
755.1,0.041
754.2,0.041
753.3,0.041
752.4,0.040
751.5,0.040
750.6,0.040
749.7,0.040
748.8,0.040
747.9,0.040
747.0,0.040
746.1,0.040
745.2,0.039
744.3,0.039
743.4,0.039
742.5,0.039
741.6,0.039
740.7,0.039
739.8,0.039
738.9,0.039
738.0,0.039
737.1,0.038
736.2,0.038
735.3,0.038
734.4,0.038
733.5,0.038
732.6,0.038
731.7,0.038
730.8,0.038
729.9,0.038
729.0,0.037
728.1,0.037
727.2,0.037
