wavelength,amplitude
635.04,1.000
634.06,0.998
633.08,0.995
632.1,0.993
631.12,0.991
630.14,0.988
629.16,0.986
628.18,0.984
627.2,0.981
626.22,0.979
625.24,0.973
624.26,0.970
623.28,0.968
622.3,0.966
621.32,0.964
620.34,0.962
619.36,0.959
618.38,0.957
617.4,0.955
616.42,0.953
615.44,0.951
614.46,0.949
613.48,0.946
612.5,0.944
611.52,0.942
610.54,0.940
609.56,0.934
608.58,0.932
607.6,0.928
606.62,0.926
605.64,0.924
604.66,0.922
603.68,0.918
602.7,0.916
601.72,0.914
600.74,0.912
599.76,0.910
598.78,0.908
597.8,0.905
596.82,0.903
595.84,0.896
594.86,0.894
593.88,0.892
592.9,0.890
591.92,0.894
590.94,0.892
589.96,0.892
588.98,0.890
588.0,0.887
587.02,0.885
586.04,0.883
585.06,0.881
584.08,0.886
583.1,0.892
582.12,0.898
581.14,0.903
580.16,0.905
579.18,0.912
578.2,0.918
577.22,0.924
576.24,0.931
575.26,0.937
574.28,0.944
573.3,0.951
572.32,0.960
571.34,0.967
570.36,0.960
569.38,0.949
568.4,0.932
567.42,0.922
566.44,0.911
565.46,0.901
564.48,0.887
563.5,0.878
562.52,0.868
561.54,0.859
560.56,0.848
559.58,0.839
558.6,0.829
557.62,0.821
556.64,0.816
555.66,0.814
554.68,0.812
553.7,0.811
552.72,0.809
551.74,0.808
550.76,0.797
549.78,0.795
548.8,0.792
547.82,0.791
546.84,0.789
545.86,0.787
544.88,0.786
543.9,0.788
542.92,0.790
541.94,0.792
540.96,0.786
539.98,0.774
539.0,0.775
538.02,0.774
537.04,0.770
536.06,0.769
535.08,0.762
534.1,0.767
533.12,0.763
532.14,0.763
531.16,0.764
530.18,0.769
529.2,0.770
528.22,0.774
527.24,0.784
526.26,0.785
525.28,0.785
524.3,0.791
523.32,0.789
522.34,0.792
521.36,0.790
520.38,0.791
519.4,0.796
518.42,0.783
517.44,0.780
516.46,0.781
515.48,0.774
514.5,0.772
513.52,0.780
512.54,0.780
511.56,0.783
510.58,0.783
509.6,0.772
508.62,0.768
507.64,0.764
506.66,0.764
505.68,0.773
504.7,0.773
503.72,0.773
502.74,0.772
501.76,0.779
500.78,0.778
499.8,0.775
498.82,0.774
497.84,0.774
496.86,0.774
495.88,0.768
494.9,0.767
493.92,0.761
492.94,0.759
491.96,0.760
490.98,0.759
490.0,0.758
489.02,0.757
488.04,0.756
487.06,0.758
486.08,0.763
485.1,0.760
484.12,0.746
483.14,0.745
482.16,0.741
481.18,0.739
480.2,0.740
479.22,0.741
478.24,0.743
477.26,0.742
476.28,0.740
475.3,0.741
474.32,0.741
473.34,0.741
472.36,0.741
471.38,0.739
470.4,0.740
469.42,0.738
468.44,0.717
467.46,0.713
466.48,0.711
465.5,0.708
464.52,0.711
463.54,0.711
462.56,0.713
461.58,0.711
460.6,0.713
459.62,0.712
458.64,0.711
457.66,0.710
456.68,0.697
455.7,0.694
454.72,0.693
453.74,0.691
452.76,0.699
451.78,0.698
450.8,0.695
449.82,0.694
448.84,0.700
447.86,0.698
446.88,0.700
445.9,0.699
444.92,0.697
443.94,0.695
442.96,0.689
441.98,0.687
441.0,0.691
440.02,0.692
439.04,0.689
438.06,0.688
437.08,0.696
436.1,0.695
435.12,0.694
434.14,0.693
433.16,0.696
432.18,0.695
431.2,0.694
430.22,0.693
429.24,0.696
428.26,0.695
427.28,0.694
426.3,0.693
425.32,0.693
424.34,0.692
423.36,0.691
422.38,0.690
421.4,0.693
420.42,0.692
419.44,0.692
418.46,0.691
417.48,0.689
416.5,0.688
415.52,0.687
414.54,0.686
413.56,0.684
412.58,0.683
411.6,0.682
410.62,0.681
409.64,0.680
408.66,0.679
407.68,0.678
406.7,0.677
405.72,0.676
404.74,0.675
403.76,0.674
402.78,0.673
401.8,0.672
400.82,0.671
399.84,0.670
398.86,0.669
397.88,0.668
396.9,0.667
395.92,0.666
394.94,0.665
393.96,0.664
392.98,0.663
392.0,0.662
391.02,0.661
390.04,0.660
389.06,0.659
388.08,0.658
387.1,0.657
386.12,0.656
385.14,0.655
384.16,0.654
383.18,0.653
382.2,0.652
381.22,0.651
380.24,0.650
