wavelength,amplitude
951.9,0.011
950.95,0.011
950.0,0.011
949.05,0.011
948.1,0.011
947.15,0.011
946.2,0.011
945.25,0.011
944.3,0.011
943.35,0.011
942.4,0.011
941.45,0.011
940.5,0.011
939.55,0.011
938.6,0.011
937.65,0.011
936.7,0.011
935.75,0.011
934.8,0.011
933.85,0.011
932.9,0.011
931.95,0.011
931.0,0.011
930.05,0.011
929.1,0.011
928.15,0.011
927.2,0.011
926.25,0.011
925.3,0.011
924.35,0.011
923.4,0.011
922.45,0.011
921.5,0.011
920.55,0.011
919.6,0.011
918.65,0.011
917.7,0.011
916.75,0.011
915.8,0.011
914.85,0.011
913.9,0.011
912.95,0.011
912.0,0.011
911.05,0.011
910.1,0.011
909.15,0.011
908.2,0.011
907.25,0.011
906.3,0.011
905.35,0.011
904.4,0.011
903.45,0.011
902.5,0.011
901.55,0.011
900.6,0.011
899.65,0.011
898.7,0.011
897.75,0.011
896.8,0.011
895.85,0.011
894.9,0.011
893.95,0.011
893.0,0.011
892.05,0.012
891.1,0.012
890.15,0.012
889.2,0.012
888.25,0.012
887.3,0.013
886.35,0.013
885.4,0.013
884.45,0.014
883.5,0.015
882.55,0.017
881.6,0.018
880.65,0.020
879.7,0.020
878.75,0.021
877.8,0.021
876.85,0.020
875.9,0.018
874.95,0.017
874.0,0.016
873.05,0.015
872.1,0.016
871.15,0.015
870.2,0.015
869.25,0.016
868.3,0.016
867.35,0.016
866.4,0.015
865.45,0.015
864.5,0.015
863.55,0.015
862.6,0.016
861.65,0.016
860.7,0.016
859.75,0.015
858.8,0.014
857.85,0.014
856.9,0.014
855.95,0.014
855.0,0.013
854.05,0.014
853.1,0.013
852.15,0.013
851.2,0.013
850.25,0.013
849.3,0.013
848.35,0.013
847.4,0.013
846.45,0.012
845.5,0.012
844.55,0.012
843.6,0.010
842.65,0.010
841.7,0.010
840.75,0.010
839.8,0.010
838.85,0.010
837.9,0.010
836.95,0.010
836.0,0.010
835.05,0.010
834.1,0.010
833.15,0.010
832.2,0.010
831.25,0.010
830.3,0.009
829.35,0.009
828.4,0.009
827.45,0.009
826.5,0.009
825.55,0.009
824.6,0.009
823.65,0.009
822.7,0.009
821.75,0.009
820.8,0.009
819.85,0.009
818.9,0.009
817.95,0.009
817.0,0.009
816.05,0.009
815.1,0.009
814.15,0.009
813.2,0.009
812.25,0.009
811.3,0.009
810.35,0.009
809.4,0.009
808.45,0.009
807.5,0.009
806.55,0.009
805.6,0.008
804.65,0.008
803.7,0.008
802.75,0.008
801.8,0.008
800.85,0.008
799.9,0.008
798.95,0.008
798.0,0.007
797.05,0.007
796.1,0.007
795.15,0.007
794.2,0.007
793.25,0.007
792.3,0.007
791.35,0.007
790.4,0.006
789.45,0.006
788.5,0.007
787.55,0.007
786.6,0.007
785.65,0.008
784.7,0.008
783.75,0.008
782.8,0.009
781.85,0.009
780.9,0.009
779.95,0.009
779.0,0.011
778.05,0.011
777.1,0.013
776.15,0.013
775.2,0.015
774.25,0.015
773.3,0.018
772.35,0.020
771.4,0.024
770.45,0.026
769.5,0.030
768.55,0.033
767.6,0.036
766.65,0.039
765.7,0.041
764.75,0.043
763.8,0.046
762.85,0.048
761.9,0.051
760.95,0.053
760.0,0.054
759.05,0.055
758.1,0.054
757.15,0.054
756.2,0.053
755.25,0.052
754.3,0.050
753.35,0.049
752.4,0.046
751.45,0.044
750.5,0.042
749.55,0.039
748.6,0.036
747.65,0.033
746.7,0.031
745.75,0.029
744.8,0.026
743.85,0.024
742.9,0.022
741.95,0.020
741.0,0.019
740.05,0.018
739.1,0.017
738.15,0.016
737.2,0.016
736.25,0.016
735.3,0.015
734.35,0.015
733.4,0.015
732.45,0.015
731.5,0.015
730.55,0.017
729.6,0.017
728.65,0.017
727.7,0.017
726.75,0.019
725.8,0.019
724.85,0.021
723.9,0.021
722.95,0.021
722.0,0.021
721.05,0.023
720.1,0.024
719.15,0.026
718.2,0.026
717.25,0.026
716.3,0.027
715.35,0.028
714.4,0.028
713.45,0.030
712.5,0.030
711.55,0.031
710.6,0.031
709.65,0.031
708.7,0.031
707.75,0.032
706.8,0.032
705.85,0.032
704.9,0.033
703.95,0.032
703.0,0.032
702.05,0.033
701.1,0.033
700.15,0.033
699.2,0.033
698.25,0.033
697.3,0.033
696.35,0.034
695.4,0.034
694.45,0.035
693.5,0.035
692.55,0.036
691.6,0.035
690.65,0.036
689.7,0.036
688.75,0.037
687.8,0.037
686.85,0.038
685.9,0.039
684.95,0.041
684.0,0.041
683.05,0.042
682.1,0.045
681.15,0.046
680.2,0.050
679.25,0.053
678.3,0.056
677.35,0.063
676.4,0.069
675.45,0.077
674.5,0.083
673.55,0.089
672.6,0.098
671.65,0.103
670.7,0.110
669.75,0.114
668.8,0.122
667.85,0.127
666.9,0.134
665.95,0.140
665.0,0.150
664.05,0.158
663.1,0.170
662.15,0.185
661.2,0.205
660.25,0.231
659.3,0.262
658.35,0.289
657.4,0.317
656.45,0.333
655.5,0.343
654.55,0.350
653.6,0.354
652.65,0.361
651.7,0.369
650.75,0.377
649.8,0.387
648.85,0.395
647.9,0.401
646.95,0.407
646.0,0.414
645.05,0.426
644.1,0.442
643.15,0.471
642.2,0.512
641.25,0.566
640.3,0.640
639.35,0.721
638.4,0.814
637.45,0.891
636.5,0.957
635.55,0.996
634.6,1.000
633.65,0.982
632.7,0.928
631.75,0.857
630.8,0.751
629.85,0.659
628.9,0.575
627.95,0.508
627.0,0.472
626.05,0.450
625.1,0.452
624.15,0.460
623.2,0.487
622.25,0.512
621.3,0.528
620.35,0.540
619.4,0.539
618.45,0.539
617.5,0.549
616.55,0.561
615.6,0.593
614.65,0.621
613.7,0.630
612.75,0.638
611.8,0.632
610.85,0.628
609.9,0.639
608.95,0.649
608.0,0.666
607.05,0.683
606.1,0.680
605.15,0.677
604.2,0.667
603.25,0.655
602.3,0.649
601.35,0.642
600.4,0.639
599.45,0.635
598.5,0.623
597.55,0.609
596.6,0.575
595.65,0.538
594.7,0.481
593.75,0.422
592.8,0.373
591.85,0.329
590.9,0.309
589.95,0.295
589.0,0.291
588.05,0.292
587.1,0.294
586.15,0.299
585.2,0.304
584.25,0.312
583.3,0.320
582.35,0.331
581.4,0.343
580.45,0.354
579.5,0.368
578.55,0.381
577.6,0.398
576.65,0.414
575.7,0.434
574.75,0.456
573.8,0.482
572.85,0.511
571.9,0.543
570.95,0.576
570.0,0.601
569.05,0.627
568.1,0.650
567.15,0.665
566.2,0.684
565.25,0.708
564.3,0.748
563.35,0.788
562.4,0.817
561.45,0.815
560.5,0.799
559.55,0.774
558.6,0.746
557.65,0.708
556.7,0.665
555.75,0.623
554.8,0.586
553.85,0.563
552.9,0.543
551.95,0.526
551.0,0.510
550.05,0.501
549.1,0.492
548.15,0.487
547.2,0.482
546.25,0.480
545.3,0.478
544.35,0.479
543.4,0.478
542.45,0.480
541.5,0.480
540.55,0.482
539.6,0.482
538.65,0.485
537.7,0.485
536.75,0.488
535.8,0.490
534.85,0.494
533.9,0.496
532.95,0.501
532.0,0.503
531.05,0.507
530.1,0.508
529.15,0.508
528.2,0.510
527.25,0.510
526.3,0.512
525.35,0.512
524.4,0.514
523.45,0.517
522.5,0.523
521.55,0.529
520.6,0.537
519.65,0.545
518.7,0.555
517.75,0.564
516.8,0.574
515.85,0.584
514.9,0.595
513.95,0.605
513.0,0.615
512.05,0.624
511.1,0.635
510.15,0.643
509.2,0.652
