wavelength,amplitude
873.9,0.015
873.0,0.013
872.1,0.013
871.2,0.013
870.3000000000001,0.013
869.4,0.013
868.5,0.013
867.6,0.013
866.7,0.013
865.8000000000001,0.013
864.9,0.013
864.0,0.013
863.1,0.013
862.2,0.013
861.3000000000001,0.013
860.4,0.013
859.5,0.013
858.6,0.013
857.7,0.013
856.8000000000001,0.013
855.9,0.013
855.0,0.013
854.1,0.013
853.2,0.013
852.3000000000001,0.013
851.4,0.013
850.5,0.013
849.6,0.013
848.7,0.013
847.8000000000001,0.013
846.9,0.013
846.0,0.013
845.1,0.013
844.2,0.013
843.3000000000001,0.013
842.4,0.013
841.5,0.013
840.6,0.013
839.7,0.013
838.8000000000001,0.013
837.9,0.013
837.0,0.013
836.1,0.013
835.2,0.013
834.3000000000001,0.013
833.4,0.013
832.5,0.013
831.6,0.013
830.7,0.013
829.8000000000001,0.013
828.9,0.013
828.0,0.013
827.1,0.013
826.2,0.013
825.3000000000001,0.013
824.4,0.013
823.5,0.013
822.6,0.013
821.7,0.013
820.8000000000001,0.013
819.9,0.013
819.0,0.013
818.1,0.013
817.2,0.013
816.3000000000001,0.013
815.4,0.013
814.5,0.013
813.6,0.013
812.7,0.013
811.8000000000001,0.013
810.9,0.013
810.0,0.014
809.1,0.014
808.2,0.015
807.3000000000001,0.014
806.4,0.014
805.5,0.014
804.6,0.015
803.7,0.014
802.8000000000001,0.014
801.9,0.014
801.0,0.014
800.1,0.014
799.2,0.013
798.3000000000001,0.013
797.4,0.013
796.5,0.012
795.6,0.012
794.7,0.012
793.8000000000001,0.012
792.9,0.012
792.0,0.012
791.1,0.012
790.2,0.012
789.3000000000001,0.012
788.4,0.012
787.5,0.012
786.6,0.012
785.7,0.012
784.8000000000001,0.012
783.9,0.012
783.0,0.012
782.1,0.012
781.2,0.012
780.3000000000001,0.010
779.4,0.010
778.5,0.010
777.6,0.009
776.7,0.009
775.8000000000001,0.009
774.9,0.009
774.0,0.009
773.1,0.010
772.2,0.011
771.3000000000001,0.011
770.4,0.011
769.5,0.013
768.6,0.013
767.7,0.015
766.8000000000001,0.016
765.9,0.016
765.0,0.018
764.1,0.019
763.2,0.020
762.3000000000001,0.021
761.4,0.021
760.5,0.021
759.6,0.022
758.7,0.023
757.8000000000001,0.023
756.9,0.024
756.0,0.024
755.1,0.023
754.2,0.022
753.3000000000001,0.022
752.4,0.021
751.5,0.019
750.6,0.019
749.7,0.019
748.8000000000001,0.019
747.9,0.019
747.0,0.019
746.1,0.019
745.2,0.020
744.3000000000001,0.021
743.4,0.023
742.5,0.026
741.6,0.030
740.7,0.035
739.8000000000001,0.041
738.9,0.049
738.0,0.057
737.1,0.065
736.2,0.071
735.3000000000001,0.078
734.4,0.083
733.5,0.085
732.6,0.088
731.7,0.088
730.8000000000001,0.089
729.9,0.083
729.0,0.078
728.1,0.074
727.2,0.067
726.3000000000001,0.060
725.4,0.055
724.5,0.048
723.6,0.048
722.7,0.046
721.8000000000001,0.047
720.9,0.049
720.0,0.056
719.1,0.063
718.2,0.071
717.3000000000001,0.081
716.4,0.088
715.5,0.095
714.6,0.106
713.7,0.116
712.8000000000001,0.125
711.9,0.137
711.0,0.145
710.1,0.153
709.2,0.164
708.3000000000001,0.178
707.4,0.197
706.5,0.230
705.6,0.279
704.7,0.348
703.8000000000001,0.426
702.9,0.504
702.0,0.579
701.1,0.656
700.2,0.730
699.3000000000001,0.807
698.4,0.876
697.5,0.935
696.6,0.979
695.7,1.000
694.8000000000001,0.993
693.9,0.963
693.0,0.910
692.1,0.838
691.2,0.763
690.3000000000001,0.677
689.4,0.592
688.5,0.503
687.6,0.419
686.7,0.337
685.8000000000001,0.259
684.9,0.202
684.0,0.172
683.1,0.152
682.2,0.136
681.3000000000001,0.121
680.4,0.109
679.5,0.100
678.6,0.095
677.7,0.089
676.8000000000001,0.084
675.9,0.080
675.0,0.078
674.1,0.073
673.2,0.072
672.3000000000001,0.073
671.4,0.070
670.5,0.066
669.6,0.066
668.7,0.071
667.8000000000001,0.083
666.9,0.094
666.0,0.106
665.1,0.122
664.2,0.135
663.3000000000001,0.146
662.4,0.162
661.5,0.177
660.6,0.186
659.7,0.195
658.8000000000001,0.200
657.9,0.201
657.0,0.196
656.1,0.191
655.2,0.184
654.3000000000001,0.174
653.4,0.165
652.5,0.153
651.6,0.142
650.7,0.128
649.8000000000001,0.115
648.9,0.104
648.0,0.092
647.1,0.082
646.2,0.077
645.3000000000001,0.069
644.4,0.065
643.5,0.061
642.6,0.059
641.7,0.057
640.8000000000001,0.057
639.9,0.056
639.0,0.056
638.1,0.055
637.2,0.054
636.3000000000001,0.054
635.4,0.054
634.5,0.054
633.6,0.056
632.7,0.059
631.8000000000001,0.062
630.9,0.065
630.0,0.070
629.1,0.074
628.2,0.079
627.3000000000001,0.088
626.4,0.097
625.5,0.106
624.6,0.116
623.7,0.128
622.8000000000001,0.139
621.9,0.148
621.0,0.157
620.1,0.166
619.2,0.172
618.3000000000001,0.175
617.4,0.176
616.5,0.175
615.6,0.174
614.7,0.169
613.8000000000001,0.161
612.9,0.151
612.0,0.140
611.1,0.128
610.2,0.115
609.3000000000001,0.103
608.4,0.094
607.5,0.085
606.6,0.075
605.7,0.068
604.8000000000001,0.065
603.9,0.064
603.0,0.063
602.1,0.063
601.2,0.066
600.3000000000001,0.071
599.4,0.082
598.5,0.100
597.6,0.121
596.7,0.148
595.8000000000001,0.181
594.9,0.222
594.0,0.265
593.1,0.300
592.2,0.338
591.3000000000001,0.377
590.4,0.408
589.5,0.433
588.6,0.446
587.7,0.448
586.8000000000001,0.443
585.9,0.433
585.0,0.420
584.1,0.403
583.2,0.383
582.3000000000001,0.357
581.4,0.333
580.5,0.309
579.6,0.284
578.7,0.263
577.8000000000001,0.246
576.9,0.235
576.0,0.231
575.1,0.224
574.2,0.216
573.3000000000001,0.206
572.4,0.195
571.5,0.181
570.6,0.164
569.7,0.145
568.8000000000001,0.129
567.9,0.114
567.0,0.104
566.1,0.097
565.2,0.093
564.3000000000001,0.092
563.4,0.090
562.5,0.090
561.6,0.092
560.7,0.096
559.8000000000001,0.104
558.9,0.114
558.0,0.125
557.1,0.137
556.2,0.150
555.3000000000001,0.162
554.4,0.171
553.5,0.179
552.6,0.183
551.7,0.186
550.8000000000001,0.185
549.9,0.181
549.0,0.174
548.1,0.167
547.2,0.155
546.3000000000001,0.142
545.4,0.130
544.5,0.115
543.6,0.103
542.7,0.091
541.8000000000001,0.082
540.9,0.077
540.0,0.073
539.1,0.070
538.2,0.069
537.3000000000001,0.070
536.4,0.070
535.5,0.072
534.6,0.074
