wavelength,amplitude
850.08,0.015
849.3100000000001,0.012
848.54,0.012
847.77,0.012
847.0,0.012
846.23,0.012
845.46,0.012
844.69,0.012
843.9200000000001,0.012
843.15,0.012
842.38,0.012
841.61,0.012
840.84,0.012
840.07,0.012
839.3000000000001,0.012
838.53,0.012
837.76,0.012
836.99,0.012
836.22,0.012
835.45,0.012
834.6800000000001,0.012
833.91,0.012
833.14,0.012
832.37,0.012
831.6,0.012
830.83,0.012
830.0600000000001,0.012
829.29,0.012
828.52,0.012
827.75,0.012
826.98,0.012
826.21,0.012
825.44,0.012
824.6700000000001,0.012
823.9,0.012
823.13,0.012
822.36,0.012
821.59,0.012
820.82,0.012
820.0500000000001,0.012
819.28,0.012
818.51,0.012
817.74,0.012
816.97,0.012
816.2,0.012
815.4300000000001,0.012
814.66,0.012
813.89,0.012
813.12,0.012
812.35,0.012
811.58,0.012
810.8100000000001,0.012
810.04,0.012
809.27,0.012
808.5,0.012
807.73,0.012
806.96,0.012
806.19,0.012
805.4200000000001,0.012
804.65,0.011
803.88,0.011
803.11,0.012
802.34,0.011
801.57,0.011
800.8000000000001,0.011
800.03,0.011
799.26,0.011
798.49,0.011
797.72,0.011
796.95,0.011
796.1800000000001,0.011
795.41,0.011
794.64,0.011
793.87,0.011
793.1,0.011
792.33,0.011
791.5600000000001,0.011
790.79,0.011
790.02,0.011
789.25,0.011
788.48,0.011
787.71,0.011
786.94,0.011
786.1700000000001,0.011
785.4,0.011
784.63,0.011
783.86,0.011
783.09,0.011
782.32,0.011
781.5500000000001,0.011
780.78,0.010
780.01,0.010
779.24,0.010
778.47,0.010
777.7,0.010
776.9300000000001,0.010
776.16,0.010
775.39,0.010
774.62,0.010
773.85,0.010
773.08,0.010
772.3100000000001,0.010
771.54,0.010
770.77,0.010
770.0,0.010
769.23,0.010
768.46,0.010
767.69,0.010
766.9200000000001,0.010
766.15,0.010
765.38,0.010
764.61,0.010
763.84,0.010
763.07,0.010
762.3000000000001,0.010
761.53,0.010
760.76,0.010
759.99,0.010
759.22,0.010
758.45,0.010
757.6800000000001,0.010
756.91,0.010
756.14,0.010
755.37,0.010
754.6,0.010
753.83,0.010
753.0600000000001,0.010
752.29,0.010
751.52,0.010
750.75,0.010
749.98,0.010
749.21,0.010
748.44,0.010
747.6700000000001,0.010
746.9,0.010
746.13,0.010
745.36,0.010
744.59,0.010
743.82,0.010
743.0500000000001,0.010
742.28,0.009
741.51,0.010
740.74,0.010
739.97,0.010
739.2,0.010
738.4300000000001,0.010
737.66,0.010
736.89,0.011
736.12,0.010
735.35,0.009
734.58,0.010
733.8100000000001,0.009
733.04,0.009
732.27,0.010
731.5,0.011
730.73,0.010
729.96,0.010
729.19,0.010
728.4200000000001,0.009
727.65,0.010
726.88,0.010
726.11,0.009
725.34,0.009
724.57,0.010
723.8000000000001,0.009
723.03,0.009
722.26,0.009
721.49,0.010
720.72,0.010
719.95,0.009
719.1800000000001,0.010
718.41,0.010
717.64,0.009
716.87,0.009
716.1,0.010
715.33,0.009
714.5600000000001,0.009
713.79,0.009
713.02,0.010
712.25,0.009
711.48,0.010
710.71,0.010
709.94,0.010
709.1700000000001,0.009
708.4,0.009
707.63,0.009
706.86,0.009
706.09,0.009
705.32,0.009
704.5500000000001,0.009
703.78,0.009
703.01,0.011
702.24,0.009
701.47,0.009
700.7,0.009
699.9300000000001,0.010
699.16,0.009
698.39,0.009
697.62,0.010
696.85,0.009
696.08,0.009
695.3100000000001,0.009
694.54,0.008
693.77,0.008
693.0,0.008
692.23,0.008
691.46,0.009
690.69,0.008
689.9200000000001,0.009
689.15,0.008
688.38,0.008
687.61,0.010
686.84,0.010
686.07,0.010
685.3000000000001,0.011
684.53,0.012
683.76,0.011
682.99,0.012
682.22,0.010
681.45,0.011
680.6800000000001,0.010
679.91,0.009
679.14,0.011
678.37,0.011
677.6,0.011
676.83,0.011
676.0600000000001,0.010
675.29,0.010
674.52,0.011
673.75,0.012
672.98,0.013
672.21,0.014
671.44,0.017
670.67,0.019
669.9,0.022
669.13,0.028
668.36,0.039
667.59,0.051
666.82,0.081
666.0500000000001,0.160
665.28,0.288
664.51,0.442
663.74,0.571
662.97,0.629
662.2,0.640
661.4300000000001,0.627
660.66,0.553
659.89,0.437
659.12,0.296
658.35,0.174
657.58,0.090
656.8100000000001,0.046
656.04,0.032
655.27,0.030
654.5,0.026
653.73,0.026
652.96,0.026
652.19,0.026
651.42,0.028
650.65,0.032
649.88,0.035
649.11,0.036
648.34,0.033
647.57,0.029
646.8000000000001,0.025
646.03,0.022
645.26,0.020
644.49,0.020
643.72,0.020
642.95,0.021
642.1800000000001,0.021
641.41,0.021
640.64,0.020
639.87,0.022
639.1,0.023
638.33,0.026
637.5600000000001,0.028
636.79,0.030
636.02,0.030
635.25,0.032
634.48,0.033
633.71,0.033
632.94,0.035
632.17,0.036
631.4,0.036
630.63,0.037
629.86,0.036
629.09,0.037
628.32,0.041
627.5500000000001,0.045
626.78,0.051
626.01,0.058
625.24,0.062
624.47,0.064
623.7,0.064
622.9300000000001,0.066
622.16,0.068
621.39,0.070
620.62,0.072
619.85,0.074
619.08,0.078
618.3100000000001,0.082
617.54,0.084
616.77,0.091
616.0,0.095
615.23,0.099
614.46,0.101
613.69,0.104
612.92,0.103
612.15,0.100
611.38,0.102
610.61,0.109
609.84,0.115
609.07,0.118
608.3000000000001,0.125
607.53,0.128
606.76,0.130
605.99,0.135
605.22,0.141
604.45,0.151
603.6800000000001,0.162
602.91,0.164
602.14,0.162
601.37,0.160
600.6,0.152
599.83,0.152
599.0600000000001,0.155
598.29,0.165
597.52,0.170
596.75,0.178
595.98,0.179
595.21,0.183
594.44,0.182
593.67,0.184
592.9,0.181
592.13,0.174
591.36,0.167
590.59,0.163
589.82,0.160
589.0500000000001,0.162
588.28,0.163
587.51,0.164
586.74,0.161
585.97,0.157
585.2,0.156
584.4300000000001,0.158
583.66,0.167
582.89,0.183
582.12,0.197
581.35,0.208
580.58,0.211
579.8100000000001,0.204
579.04,0.191
578.27,0.172
577.5,0.157
576.73,0.146
575.96,0.140
575.19,0.134
574.42,0.131
573.65,0.128
572.88,0.125
572.11,0.124
571.34,0.123
570.57,0.120
569.8000000000001,0.117
569.03,0.115
568.26,0.113
567.49,0.110
566.72,0.103
565.95,0.095
565.1800000000001,0.085
564.41,0.077
563.64,0.071
562.87,0.067
562.1,0.063
561.33,0.060
560.5600000000001,0.058
559.79,0.055
559.02,0.053
558.25,0.050
557.48,0.048
556.71,0.047
555.94,0.046
555.17,0.047
554.4,0.049
553.63,0.051
552.86,0.054
552.09,0.055
551.32,0.056
550.5500000000001,0.055
549.78,0.053
549.01,0.053
548.24,0.053
547.47,0.054
546.7,0.054
545.9300000000001,0.054
545.16,0.054
544.39,0.053
543.62,0.055
542.85,0.058
542.08,0.063
541.3100000000001,0.066
540.54,0.070
539.77,0.073
539.0,0.073
538.23,0.071
537.46,0.071
536.69,0.069
535.92,0.068
535.15,0.067
534.38,0.065
533.61,0.064
532.84,0.063
532.07,0.063
531.3000000000001,0.062
530.53,0.062
529.76,0.066
528.99,0.067
528.22,0.068
527.45,0.068
526.6800000000001,0.070
525.91,0.071
525.14,0.072
524.37,0.071
523.6,0.072
522.83,0.070
522.0600000000001,0.068
521.29,0.066
520.52,0.065
519.75,0.065
518.98,0.065
518.21,0.066
517.44,0.067
516.67,0.068
515.9,0.069
515.13,0.070
514.36,0.071
513.59,0.070
512.82,0.070
512.0500000000001,0.069
511.28000000000003,0.069
510.51,0.069
509.74,0.071
508.97,0.072
508.2,0.075
507.43,0.076
506.66,0.077
505.89,0.078
505.12,0.080
504.35,0.082
503.58,0.085
502.81,0.086
502.04,0.088
501.27000000000004,0.089
500.5,0.090
499.73,0.093
498.96000000000004,0.097
498.19,0.099
497.42,0.100
496.65000000000003,0.103
495.88,0.108
495.11,0.114
494.34000000000003,0.123
493.57,0.134
492.8,0.150
492.03000000000003,0.174
491.26,0.199
490.49,0.227
489.72,0.258
488.95,0.297
488.18,0.368
487.41,0.508
486.64,0.715
485.87,0.886
485.1,0.977
484.33,1.000
483.56,0.995
482.79,0.990
482.02000000000004,0.950
481.25,0.822
480.48,0.641
479.71000000000004,0.440
478.94,0.294
478.17,0.245
477.40000000000003,0.221
476.63,0.204
475.86,0.190
475.09000000000003,0.182
474.32,0.182
473.55,0.186
472.78000000000003,0.190
472.01,0.193
471.24,0.188
470.47,0.178
469.7,0.166
468.93,0.155
468.16,0.144
467.39,0.139
466.62,0.137
465.85,0.136
465.08,0.136
464.31,0.136
463.54,0.139
462.77000000000004,0.140
462.0,0.140
461.23,0.140
460.46000000000004,0.138
459.69,0.137
458.92,0.135
458.15000000000003,0.135
457.38,0.136
456.61,0.137
455.84000000000003,0.138
455.07,0.138
454.3,0.138
453.53000000000003,0.138
452.76,0.137
451.99,0.137
451.22,0.139
450.45,0.139
449.68,0.140
448.91,0.141
448.14,0.142
447.37,0.142
446.6,0.143
445.83,0.143
445.06,0.144
444.29,0.144
443.52,0.144
442.75,0.144
441.98,0.145
441.21000000000004,0.145
440.44,0.145
439.67,0.145
438.90000000000003,0.147
438.13,0.156
437.36,0.177
436.59000000000003,0.211
435.82,0.253
435.05,0.281
434.28000000000003,0.296
433.51,0.304
432.74,0.306
431.97,0.305
431.2,0.296
430.43,0.269
429.66,0.217
428.89,0.176
428.12,0.146
427.35,0.131
426.58,0.128
425.81,0.125
425.04,0.122
424.27,0.121
423.5,0.122
422.73,0.122
421.96000000000004,0.123
421.19,0.123
420.42,0.125
419.65000000000003,0.124
418.88,0.122
418.11,0.119
417.34000000000003,0.118
416.57,0.118
415.8,0.118
415.03000000000003,0.119
414.26,0.125
413.49,0.134
412.72,0.147
411.95,0.163
411.18,0.179
410.41,0.189
409.64,0.193
408.87,0.188
408.1,0.171
407.33,0.152
406.56,0.132
405.79,0.118
405.02,0.110
404.25,0.104
403.48,0.103
402.71000000000004,0.101
401.94,0.100
401.17,0.100
400.40000000000003,0.103
399.63,0.107
398.86,0.109
398.09000000000003,0.110
397.32,0.108
396.55,0.104
395.78000000000003,0.098
395.01,0.090
394.24,0.082
393.47,0.074
392.7,0.067
391.93,0.062
391.16,0.060
390.39,0.058
389.62,0.055
388.85,0.052
388.08,0.047
387.31,0.042
386.54,0.038
385.77,0.033
385.0,0.029
384.23,0.026
383.46000000000004,0.023
382.69,0.020
381.92,0.019
381.15000000000003,0.017
380.38,0.016
