wavelength,amplitude
999.11,0.012
998.13,0.012
997.15,0.012
996.17,0.012
995.1899999999999,0.012
994.21,0.012
993.23,0.012
992.25,0.012
991.27,0.012
990.29,0.012
989.31,0.013
988.3299999999999,0.013
987.35,0.012
986.37,0.012
985.39,0.012
984.41,0.012
983.43,0.012
982.4499999999999,0.012
981.47,0.012
980.49,0.012
979.51,0.012
978.53,0.012
977.55,0.012
976.5699999999999,0.012
975.59,0.012
974.61,0.012
973.63,0.012
972.65,0.012
971.67,0.011
970.6899999999999,0.012
969.71,0.013
968.73,0.013
967.75,0.012
966.77,0.012
965.79,0.012
964.81,0.012
963.8299999999999,0.012
962.85,0.012
961.87,0.012
960.89,0.012
959.91,0.012
958.93,0.012
957.9499999999999,0.012
956.97,0.012
955.99,0.012
955.01,0.012
954.03,0.013
953.05,0.012
952.0699999999999,0.012
951.09,0.012
950.11,0.012
949.13,0.012
948.15,0.012
947.17,0.012
946.1899999999999,0.012
945.21,0.012
944.23,0.013
943.25,0.013
942.27,0.012
941.29,0.012
940.31,0.012
939.3299999999999,0.012
938.35,0.012
937.37,0.012
936.39,0.012
935.41,0.012
934.43,0.013
933.4499999999999,0.013
932.47,0.013
931.49,0.012
930.51,0.012
929.53,0.012
928.55,0.012
927.5699999999999,0.012
926.59,0.012
925.61,0.012
924.63,0.012
923.65,0.012
922.67,0.012
921.6899999999999,0.012
920.71,0.012
919.73,0.012
918.75,0.012
917.77,0.012
916.79,0.012
915.81,0.012
914.8299999999999,0.012
913.85,0.012
912.87,0.012
911.89,0.012
910.91,0.012
909.93,0.012
908.9499999999999,0.012
907.97,0.012
906.99,0.012
906.01,0.012
905.03,0.013
904.05,0.012
903.0699999999999,0.013
902.09,0.013
901.11,0.012
900.13,0.012
899.15,0.013
898.17,0.013
897.1899999999999,0.012
896.21,0.012
895.23,0.012
894.25,0.012
893.27,0.012
892.29,0.012
891.31,0.012
890.3299999999999,0.012
889.35,0.012
888.37,0.012
887.39,0.012
886.41,0.013
885.43,0.013
884.4499999999999,0.012
883.47,0.012
882.49,0.012
881.51,0.012
880.53,0.013
879.55,0.013
878.5699999999999,0.013
877.59,0.012
876.61,0.012
875.63,0.012
874.65,0.012
873.67,0.012
872.6899999999999,0.012
871.71,0.012
870.73,0.012
869.75,0.012
868.77,0.012
867.79,0.012
866.81,0.012
865.83,0.012
864.85,0.013
863.87,0.013
862.89,0.012
861.91,0.012
860.93,0.012
859.9499999999999,0.012
858.97,0.012
857.99,0.012
857.01,0.012
856.03,0.012
855.05,0.012
854.0699999999999,0.012
853.09,0.012
852.11,0.012
851.13,0.012
850.15,0.012
849.17,0.012
848.1899999999999,0.013
847.21,0.015
846.23,0.014
845.25,0.012
844.27,0.013
843.29,0.012
842.31,0.012
841.33,0.012
840.35,0.012
839.37,0.012
838.39,0.013
837.41,0.013
836.43,0.013
835.4499999999999,0.013
834.47,0.013
833.49,0.013
832.51,0.013
831.53,0.013
830.55,0.013
829.5699999999999,0.012
828.59,0.012
827.61,0.012
826.63,0.012
825.65,0.013
824.67,0.013
823.6899999999999,0.013
822.71,0.013
821.73,0.013
