wavelength,amplitude
999.11,0.042
998.13,0.041
997.15,0.040
996.17,0.041
995.1899999999999,0.040
994.21,0.040
993.23,0.041
992.25,0.040
991.27,0.042
990.29,0.044
989.31,0.043
988.3299999999999,0.041
987.35,0.041
986.37,0.041
985.39,0.040
984.41,0.041
983.43,0.040
982.4499999999999,0.040
981.47,0.041
980.49,0.040
979.51,0.040
978.53,0.040
977.55,0.040
976.5699999999999,0.040
975.59,0.039
974.61,0.040
973.63,0.041
972.65,0.041
971.67,0.043
970.6899999999999,0.042
969.71,0.042
968.73,0.041
967.75,0.040
966.77,0.040
965.79,0.040
964.81,0.040
963.8299999999999,0.042
962.85,0.040
961.87,0.040
960.89,0.041
959.91,0.040
958.93,0.040
957.9499999999999,0.040
956.97,0.040
955.99,0.040
955.01,0.039
954.03,0.039
953.05,0.040
952.0699999999999,0.041
951.09,0.041
950.11,0.040
949.13,0.040
948.15,0.040
947.17,0.039
946.1899999999999,0.040
945.21,0.040
944.23,0.040
943.25,0.040
942.27,0.043
941.29,0.045
940.31,0.042
939.3299999999999,0.043
938.35,0.039
937.37,0.040
936.39,0.040
935.41,0.040
934.43,0.040
933.4499999999999,0.040
932.47,0.040
931.49,0.040
930.51,0.040
929.53,0.040
928.55,0.041
927.5699999999999,0.040
926.59,0.041
925.61,0.044
924.63,0.043
923.65,0.040
922.67,0.040
921.6899999999999,0.040
920.71,0.041
919.73,0.040
918.75,0.040
917.77,0.040
916.79,0.040
915.81,0.040
914.8299999999999,0.039
913.85,0.040
912.87,0.040
911.89,0.041
910.91,0.041
909.93,0.041
908.9499999999999,0.041
907.97,0.043
906.99,0.041
906.01,0.043
905.03,0.041
904.05,0.042
903.0699999999999,0.041
902.09,0.045
901.11,0.041
900.13,0.040
899.15,0.043
898.17,0.042
897.1899999999999,0.043
896.21,0.042
895.23,0.041
894.25,0.040
893.27,0.040
892.29,0.040
891.31,0.039
890.3299999999999,0.040
889.35,0.042
888.37,0.042
887.39,0.042
886.41,0.040
885.43,0.040
884.4499999999999,0.040
883.47,0.040
882.49,0.040
881.51,0.041
880.53,0.040
879.55,0.041
878.5699999999999,0.041
877.59,0.040
876.61,0.041
875.63,0.041
874.65,0.040
873.67,0.041
872.6899999999999,0.041
871.71,0.039
870.73,0.039
869.75,0.039
868.77,0.040
867.79,0.040
866.81,0.040
865.83,0.040
864.85,0.041
863.87,0.041
862.89,0.042
861.91,0.043
860.93,0.043
859.9499999999999,0.041
858.97,0.040
857.99,0.036
857.01,0.035
856.03,0.031
855.05,0.030
854.0699999999999,0.031
853.09,0.032
852.11,0.030
851.13,0.031
850.15,0.033
849.17,0.028
848.1899999999999,0.031
847.21,0.033
846.23,0.032
845.25,0.035
844.27,0.034
843.29,0.038
842.31,0.039
841.33,0.041
840.35,0.055
839.37,0.054
838.39,0.062
837.41,0.075
836.43,0.079
835.4499999999999,0.093
834.47,0.092
833.49,0.111
832.51,0.104
831.53,0.129
830.55,0.128
829.5699999999999,0.145
828.59,0.161
827.61,0.186
826.63,0.203
825.65,0.212
824.67,0.219
823.6899999999999,0.256
822.71,0.262
821.73,0.276
820.75,0.308
819.77,0.346
818.79,0.366
817.81,0.414
816.83,0.441
815.85,0.497
814.87,0.520
813.89,0.545
812.91,0.586
811.93,0.614
810.9499999999999,0.653
809.97,0.699
808.99,0.724
808.01,0.765
807.03,0.801
806.05,0.832
805.0699999999999,0.855
804.09,0.885
803.11,0.918
802.13,0.938
801.15,0.962
800.17,0.973
799.1899999999999,0.991
798.21,1.000
797.23,0.991
796.25,0.975
795.27,0.948
794.29,0.926
793.31,0.900
792.33,0.864
791.35,0.828
790.37,0.801
789.39,0.772
788.41,0.738
787.43,0.708
786.4499999999999,0.671
785.47,0.629
784.49,0.601
783.51,0.568
782.53,0.543
781.55,0.505
780.5699999999999,0.477
779.59,0.442
778.61,0.417
777.63,0.399
776.65,0.382
775.67,0.368
774.6899999999999,0.376
773.71,0.370
772.73,0.350
771.75,0.355
770.77,0.360
769.79,0.357
768.81,0.350
767.83,0.331
766.85,0.336
765.87,0.337
764.89,0.339
763.91,0.337
762.93,0.333
761.9499999999999,0.326
760.97,0.324
759.99,0.303
759.01,0.304
758.03,0.270
757.05,0.272
756.0699999999999,0.254
755.09,0.245
754.11,0.225
753.13,0.212
752.15,0.190
751.17,0.181
750.1899999999999,0.166
749.21,0.156
748.23,0.141
747.25,0.131
746.27,0.115
745.29,0.110
744.31,0.094
743.33,0.090
742.35,0.078
741.37,0.085
740.39,0.072
739.41,0.071
738.43,0.064
737.4499999999999,0.066
736.47,0.063
735.49,0.067
734.51,0.070
733.53,0.078
732.55,0.091
731.5699999999999,0.106
730.59,0.123
729.61,0.149
728.63,0.184
727.65,0.215
726.67,0.243
725.6899999999999,0.280
724.71,0.313
723.73,0.353
722.75,0.388
721.77,0.421
720.79,0.458
719.81,0.495
718.83,0.531
717.85,0.569
716.87,0.607
715.89,0.646
714.91,0.686
713.93,0.723
712.9499999999999,0.764
711.97,0.790
710.99,0.810
710.01,0.820
709.03,0.817
708.05,0.816
707.0699999999999,0.800
706.09,0.782
705.11,0.762
704.13,0.738
703.15,0.707
702.17,0.671
701.1899999999999,0.625
700.21,0.584
699.23,0.536
698.25,0.497
697.27,0.453
696.29,0.412
695.31,0.367
694.33,0.329
693.35,0.291
692.37,0.253
691.39,0.211
690.41,0.174
689.43,0.137
688.4499999999999,0.110
687.47,0.086
686.49,0.067
685.51,0.056
684.53,0.047
683.55,0.037
682.5699999999999,0.033
681.59,0.024
680.61,0.033
679.63,0.029
678.65,0.024
677.67,0.027
676.6899999999999,0.026
675.71,0.023
674.73,0.020
673.75,0.023
672.77,0.027
671.79,0.023
670.81,0.027
669.83,0.022
668.85,0.027
667.87,0.023
666.89,0.026
665.91,0.023
664.93,0.025
663.9499999999999,0.021
662.97,0.026
661.99,0.023
661.01,0.032
660.03,0.033
659.05,0.036
658.0699999999999,0.035
657.09,0.038
656.11,0.040
655.13,0.043
654.15,0.044
653.17,0.049
652.1899999999999,0.053
651.21,0.054
650.23,0.059
649.25,0.062
648.27,0.069
647.29,0.075
646.31,0.071
645.33,0.073
644.35,0.071
643.37,0.072
642.39,0.074
641.41,0.074
640.43,0.076
639.4499999999999,0.078
638.47,0.083
637.49,0.089
636.51,0.090
635.53,0.089
634.55,0.087
633.5699999999999,0.084
632.59,0.084
631.61,0.079
630.63,0.077
629.65,0.078
628.67,0.076
627.6899999999999,0.072
626.71,0.069
625.73,0.065
624.75,0.067
623.77,0.069
622.79,0.067
621.81,0.068
620.83,0.061
619.85,0.060
618.87,0.055
617.89,0.054
616.91,0.054
615.93,0.053
614.95,0.052
613.97,0.048
612.99,0.046
612.01,0.043
611.03,0.045
610.05,0.046
609.0699999999999,0.038
608.09,0.043
607.11,0.041
606.13,0.040
605.15,0.040
604.17,0.041
603.1899999999999,0.036
602.21,0.041
601.23,0.038
600.25,0.037
599.27,0.036
598.29,0.039
597.31,0.037
596.33,0.036
595.35,0.035
594.37,0.039
593.39,0.035
592.41,0.040
591.43,0.039
590.45,0.037
589.47,0.039
588.49,0.039
587.51,0.038
586.53,0.039
585.55,0.042
584.5699999999999,0.043
583.59,0.039
582.61,0.043
581.63,0.040
580.65,0.047
579.67,0.044
578.6899999999999,0.050
577.71,0.044
576.73,0.048
575.75,0.047
574.77,0.049
573.79,0.045
572.81,0.053
571.83,0.053
570.85,0.054
569.87,0.052
568.89,0.050
567.91,0.046
566.93,0.045
565.95,0.043
564.97,0.044
563.99,0.041
563.01,0.042
562.03,0.033
561.05,0.035
560.0699999999999,0.031
559.09,0.034
558.11,0.031
557.13,0.027
556.15,0.023
555.17,0.023
554.1899999999999,0.023
553.21,0.019
552.23,0.019
551.25,0.020
550.27,0.022
549.29,0.020
548.31,0.017
547.33,0.018
546.35,0.019
545.37,0.018
544.39,0.019
543.41,0.021
542.43,0.020
541.45,0.021
540.47,0.023
539.49,0.020
538.51,0.020
537.53,0.019
536.55,0.020
535.5699999999999,0.017
534.59,0.017
533.61,0.017
532.63,0.019
531.65,0.018
530.67,0.018
529.6899999999999,0.017
528.71,0.017
527.73,0.017
526.75,0.016
525.77,0.019
524.79,0.019
523.81,0.018
522.83,0.019
521.85,0.020
520.87,0.018
519.89,0.020
518.91,0.015
517.93,0.015
516.95,0.017
515.97,0.017
514.99,0.016
514.01,0.015
513.03,0.016
512.05,0.016
511.07,0.017
510.09,0.020
509.11,0.019
508.13,0.020
507.15,0.018
506.17,0.023
505.19,0.017
504.21,0.020
503.23,0.018
502.25,0.019
