wavelength,amplitude
955.01,0.040
954.03,0.034
953.05,0.031
952.0699999999999,0.033
951.09,0.034
950.11,0.035
949.13,0.036
948.15,0.035
947.17,0.036
946.1899999999999,0.034
945.21,0.033
944.23,0.032
943.25,0.032
942.27,0.032
941.29,0.030
940.31,0.031
939.3299999999999,0.030
938.35,0.030
937.37,0.031
936.39,0.029
935.41,0.030
934.43,0.030
933.4499999999999,0.029
932.47,0.028
931.49,0.030
930.51,0.029
929.53,0.029
928.55,0.027
927.5699999999999,0.028
926.59,0.030
925.61,0.029
924.63,0.029
923.65,0.030
922.67,0.032
921.6899999999999,0.033
920.71,0.033
919.73,0.032
918.75,0.031
917.77,0.033
916.79,0.033
915.81,0.032
914.8299999999999,0.033
913.85,0.035
912.87,0.033
911.89,0.034
910.91,0.035
909.93,0.036
908.9499999999999,0.037
907.97,0.036
906.99,0.040
906.01,0.042
905.03,0.043
904.05,0.045
903.0699999999999,0.045
902.09,0.046
901.11,0.047
900.13,0.048
899.15,0.050
898.17,0.051
897.1899999999999,0.054
896.21,0.056
895.23,0.059
894.25,0.064
893.27,0.067
892.29,0.071
891.31,0.082
890.3299999999999,0.095
889.35,0.109
888.37,0.138
887.39,0.183
886.41,0.248
885.43,0.338
884.4499999999999,0.445
883.47,0.557
882.49,0.678
881.51,0.806
880.53,0.904
879.55,0.946
878.5699999999999,0.936
877.59,0.878
876.61,0.788
875.63,0.664
874.65,0.529
873.67,0.397
872.6899999999999,0.272
871.71,0.178
870.73,0.130
869.75,0.105
868.77,0.087
867.79,0.073
866.81,0.065
865.83,0.062
864.85,0.057
863.87,0.055
862.89,0.053
861.91,0.053
860.93,0.048
859.9499999999999,0.045
858.97,0.045
857.99,0.043
857.01,0.043
856.03,0.042
855.05,0.040
854.0699999999999,0.039
853.09,0.038
852.11,0.035
851.13,0.035
850.15,0.034
849.17,0.035
848.1899999999999,0.034
847.21,0.033
846.23,0.034
845.25,0.033
844.27,0.033
843.29,0.032
842.31,0.033
841.33,0.034
840.35,0.034
839.37,0.034
838.39,0.031
837.41,0.032
836.43,0.032
835.4499999999999,0.032
834.47,0.034
833.49,0.034
832.51,0.035
831.53,0.036
830.55,0.035
829.5699999999999,0.033
828.59,0.036
827.61,0.038
826.63,0.039
825.65,0.039
824.67,0.041
823.6899999999999,0.042
822.71,0.044
821.73,0.046
820.75,0.051
819.77,0.060
818.79,0.067
817.81,0.081
816.83,0.098
815.85,0.125
814.87,0.178
813.89,0.236
812.91,0.304
811.93,0.381
810.9499999999999,0.453
809.97,0.518
808.99,0.549
808.01,0.549
807.03,0.517
806.05,0.457
805.0699999999999,0.386
804.09,0.304
803.11,0.223
802.13,0.157
801.15,0.113
800.17,0.091
799.1899999999999,0.079
798.21,0.072
797.23,0.069
796.25,0.067
795.27,0.066
794.29,0.065
793.31,0.066
792.33,0.068
791.35,0.072
790.37,0.078
789.39,0.082
788.41,0.092
787.43,0.105
786.4499999999999,0.152
785.47,0.226
784.49,0.323
783.51,0.446
782.53,0.585
781.55,0.743
780.5699999999999,0.882
779.59,0.967
778.61,1.000
777.63,0.964
776.65,0.859
775.67,0.721
774.6899999999999,0.573
773.71,0.430
772.73,0.304
771.75,0.218
770.77,0.165
769.79,0.138
768.81,0.123
767.83,0.110
766.85,0.101
765.87,0.091
764.89,0.082
763.91,0.073
762.93,0.066
761.9499999999999,0.061
760.97,0.058
759.99,0.054
759.01,0.051
758.03,0.048
757.05,0.045
756.0699999999999,0.043
755.09,0.043
754.11,0.041
753.13,0.041
752.15,0.041
751.17,0.042
750.1899999999999,0.042
749.21,0.045
748.23,0.047
747.25,0.049
746.27,0.050
745.29,0.052
744.31,0.055
743.33,0.057
742.35,0.060
741.37,0.062
740.39,0.065
739.41,0.067
738.43,0.072
737.4499999999999,0.077
736.47,0.084
735.49,0.101
734.51,0.137
733.53,0.190
732.55,0.253
731.5699999999999,0.325
730.59,0.397
729.61,0.468
728.63,0.516
727.65,0.536
726.67,0.531
725.6899999999999,0.500
724.71,0.453
723.73,0.391
722.75,0.323
721.77,0.242
720.79,0.177
719.81,0.135
718.83,0.108
717.85,0.091
716.87,0.079
715.89,0.074
714.91,0.069
713.93,0.065
712.9499999999999,0.061
711.97,0.053
710.99,0.049
710.01,0.046
709.03,0.043
708.05,0.041
707.0699999999999,0.039
706.09,0.039
705.11,0.040
704.13,0.041
703.15,0.042
702.17,0.044
701.1899999999999,0.049
700.21,0.052
699.23,0.054
698.25,0.060
697.27,0.059
696.29,0.060
695.31,0.062
694.33,0.062
693.35,0.068
692.37,0.071
691.39,0.076
690.41,0.080
689.43,0.082
688.4499999999999,0.087
687.47,0.086
686.49,0.084
685.51,0.081
684.53,0.076
683.55,0.071
682.5699999999999,0.066
681.59,0.060
680.61,0.055
679.63,0.051
678.65,0.048
677.67,0.046
676.6899999999999,0.044
675.71,0.041
674.73,0.040
673.75,0.038
672.77,0.038
671.79,0.039
670.81,0.038
669.83,0.041
668.85,0.045
667.87,0.049
666.89,0.058
665.91,0.070
664.93,0.085
663.9499999999999,0.100
662.97,0.111
661.99,0.117
661.01,0.116
660.03,0.104
659.05,0.090
658.0699999999999,0.077
657.09,0.063
656.11,0.053
655.13,0.047
654.15,0.044
653.17,0.042
652.1899999999999,0.043
651.21,0.049
650.23,0.055
649.25,0.061
648.27,0.069
647.29,0.080
646.31,0.089
645.33,0.101
644.35,0.112
643.37,0.125
642.39,0.133
641.41,0.141
640.43,0.149
639.4499999999999,0.155
638.47,0.161
637.49,0.167
636.51,0.172
635.53,0.184
634.55,0.216
633.5699999999999,0.286
632.59,0.405
631.61,0.537
630.63,0.673
629.65,0.809
628.67,0.893
627.6899999999999,0.915
626.71,0.874
625.73,0.788
624.75,0.681
623.77,0.547
622.79,0.402
621.81,0.280
620.83,0.214
619.85,0.179
618.87,0.161
617.89,0.137
616.91,0.122
615.93,0.109
614.95,0.098
613.97,0.088
612.99,0.079
612.01,0.071
611.03,0.064
610.05,0.060
609.0699999999999,0.055
608.09,0.051
607.11,0.047
606.13,0.045
605.15,0.042
604.17,0.043
603.1899999999999,0.045
602.21,0.052
601.23,0.060
600.25,0.072
599.27,0.089
598.29,0.108
597.31,0.125
596.33,0.139
595.35,0.148
594.37,0.153
593.39,0.151
592.41,0.144
591.43,0.134
590.45,0.120
589.47,0.105
588.49,0.091
587.51,0.079
586.53,0.066
585.55,0.057
584.5699999999999,0.050
583.59,0.045
582.61,0.041
581.63,0.038
580.65,0.037
579.67,0.037
578.6899999999999,0.038
577.71,0.040
576.73,0.041
575.75,0.040
574.77,0.038
573.79,0.036
572.81,0.035
571.83,0.033
570.85,0.035
569.87,0.038
568.89,0.044
567.91,0.051
566.93,0.059
565.95,0.065
564.97,0.071
563.99,0.076
563.01,0.077
562.03,0.081
561.05,0.090
560.0699999999999,0.099
559.09,0.111
558.11,0.124
557.13,0.134
556.15,0.138
555.17,0.136
554.1899999999999,0.130
553.21,0.114
552.23,0.100
551.25,0.086
550.27,0.073
549.29,0.063
548.31,0.056
547.33,0.051
546.35,0.048
545.37,0.047
544.39,0.047
543.41,0.047
542.43,0.048
541.45,0.050
540.47,0.052
539.49,0.058
538.51,0.064
537.53,0.079
536.55,0.103
535.5699999999999,0.140
534.59,0.205
533.61,0.293
532.63,0.385
531.65,0.473
530.67,0.544
529.6899999999999,0.562
528.71,0.541
527.73,0.487
526.75,0.407
525.77,0.302
524.79,0.214
523.81,0.177
522.83,0.188
521.85,0.236
520.87,0.295
519.89,0.337
518.91,0.341
517.93,0.314
516.95,0.259
515.97,0.186
514.99,0.126
514.01,0.091
513.03,0.076
512.05,0.068
511.07,0.067
510.09,0.066
509.11,0.064
508.13,0.061
507.15,0.058
506.17,0.055
505.19,0.053
504.21,0.053
503.23,0.053
502.25,0.056
501.27,0.065
500.28999999999996,0.081
499.31,0.103
498.33,0.131
497.34999999999997,0.151
496.37,0.156
495.39,0.146
494.40999999999997,0.125
493.43,0.102
492.45,0.078
491.46999999999997,0.062
490.49,0.049
489.51,0.041
488.53,0.038
487.55,0.038
486.57,0.038
485.59,0.038
484.61,0.038
483.63,0.039
482.65,0.040
481.67,0.042
480.69,0.044
479.71,0.046
478.73,0.048
477.75,0.054
476.77,0.063
475.78999999999996,0.081
474.81,0.105
473.83,0.132
472.84999999999997,0.158
471.87,0.177
470.89,0.187
469.90999999999997,0.187
468.93,0.175
467.95,0.158
466.96999999999997,0.136
465.99,0.119
465.01,0.108
464.03,0.104
463.05,0.105
462.07,0.107
461.09,0.110
460.11,0.107
459.13,0.100
458.15,0.092
457.17,0.082
